,0
0,-0.116158485
1,-0.13595247
2,-0.22223186
3,-0.38870096
4,-0.4658451
5,-0.3288126
6,-0.17503166
7,-0.20903635
8,-0.37246037
9,-0.3684001
10,-0.41915274
11,-0.5785165
12,-0.32830524
13,-0.51253796
14,-0.3562193
15,-0.5668435
16,-0.42575073
17,-0.6587057
18,-0.34302378
19,-0.42067528
20,-0.25471354
21,-0.22730732
22,-0.26029634
23,-0.259789
24,-0.2369504
25,-0.10397816
26,-0.15117788
27,-0.09941006
28,-0.07200384
29,-0.10042524
30,-0.12884665
31,-0.063883305
32,-0.094842434
33,-0.18721247
34,-0.25268364
35,-0.112098694
37,-0.21715689
38,-0.09585762
56,-0.06997347
57,-0.06692839
58,-0.05880785
59,-0.03952217
60,-0.05474806
61,-0.045612335
