,0
0,0.039523136
1,0.031200012
2,0.04605772
3,0.02383322
4,0.007705593
5,-0.03753691
6,-0.011135278
7,-0.03314821
8,-0.039762177
9,-0.044811238
10,-0.04796068
11,-0.019684052
12,-0.04002903
13,-0.0051841564
14,-0.014162602
15,-0.06332947
16,-0.09444346
17,-0.09090907
18,-0.093427815
19,-0.14192328
20,-0.16400406
21,-0.12851742
22,-0.08641081
23,-0.13195384
24,-0.17873614
25,-0.16504383
26,-0.119673155
27,-0.11116961
28,-0.11742429
29,-0.11252901
30,-0.12364879
31,-0.080098346
32,-0.081159726
33,-0.092703156
34,-0.08705355
41,-0.0430654
42,-0.028707225
43,-0.09829746
