,0
0,276.31177
1,277.07654
2,278.3806
3,279.20367
4,280.62964
5,280.98746
6,278.639
7,276.86615
8,274.23434
9,270.89056
10,269.24362
11,267.95737
12,271.78207
13,273.10516
14,274.95703
15,276.8656
16,278.28748
17,278.88837
18,278.0727
19,277.907
20,276.81995
21,277.98724
22,276.94623
23,275.81784
24,275.5962
25,275.0917
26,274.57294
27,274.1538
28,273.623
29,273.18668
30,272.8948
31,272.76358
32,272.4442
33,272.33176
34,272.2104
35,271.9969
36,271.81393
37,271.83508
38,272.06708
39,271.90753
40,271.56525
