,0
0,1.4824123
1,1.8806534
2,1.1936436
3,1.8056602
4,1.0126247
5,0.9712486
6,0.66955185
7,0.9496994
8,2.82971
9,3.6244698
10,3.7735958
11,2.0358143
12,9.197269
13,9.577408
14,5.5260315
15,3.5882664
16,2.9865932
17,5.942375
18,7.7930794
19,7.494829
20,6.831093
21,4.585594
22,3.883068
23,6.31131
24,3.0029716
25,3.444313
26,2.3469944
27,2.4090576
28,1.5186157
29,1.359148
30,2.3426838
31,2.0099545
32,1.4556904
33,1.4022465
34,1.1039963
35,1.0850334
36,1.2307091
37,1.3565617
38,1.2255383
39,0.8884983
40,1.331564
41,1.858242
42,1.4513817
43,1.6901531
44,0.8238487
45,1.5039616
46,0.98073196
47,0.5773182
48,1.1445103
49,1.3117371
50,2.0056438
51,2.0021954
