,0
0,0.023517067
1,0.01615496
2,0.011498278
3,0.0111199925
4,0.052717093
5,0.04390017
6,0.040716115
7,0.040309206
8,0.04011285
9,0.04002831
10,0.041442677
11,0.039579738
12,0.035786595
13,0.031134946
14,0.025253445
15,0.019972274
16,0.012386009
17,0.0064552645
18,0.009162615
19,0.0141897695
20,0.022532156
21,0.027826855
22,0.03442095
23,0.029826688
24,0.018582083
25,0.006128176
26,-0.0057833875
27,-0.016378412
28,0.0053959475
29,-0.01599727
30,-0.03275444
31,-0.044496413
32,-0.056437846
33,-0.0655251
34,-0.07890322
35,-0.09687821
36,-0.11642783
37,-0.13744856
38,-0.1511883
39,-0.16438478
40,-0.1764224
41,-0.17453836
42,-0.16856936
43,-0.15828438
44,-0.15173258
45,-0.1504213
46,-0.14671928
47,-0.14666174
48,-0.1490653
49,-0.15340853
50,-0.15830031
51,-0.16046101
52,-0.1411188
53,-0.15932314
54,-0.1743805
55,-0.18567182
56,-0.19495738
57,-0.19820361
58,-0.20100452
59,-0.20598905
60,-0.20925206
61,-0.21336877
62,-0.21814114
63,-0.22075632
64,-0.20327641
65,-0.21010265
66,-0.20371072
67,-0.19432943
68,-0.18305025
69,-0.17442365
70,-0.16151917
71,-0.1574167
72,-0.15511979
73,-0.15419544
74,-0.1542034
75,-0.15259296
76,-0.13113818
77,-0.14276338
78,-0.15516932
79,-0.159272
80,-0.15987112
81,-0.15953483
82,-0.1602696
83,-0.16899912
84,-0.17646973
85,-0.18489856
86,-0.19363263
87,-0.19790752
88,-0.19166052
89,-0.18341088
90,-0.17015693
91,-0.15377322
92,-0.13841645
93,-0.12369289
94,-0.10732495
95,-0.100124545
96,-0.096236415
97,-0.09714793
98,-0.098894216
99,-0.10040047
100,-0.08769673
101,-0.09498419
102,-0.098594286
103,-0.09492089
104,-0.08662204
105,-0.07861445
106,-0.07307829
107,-0.07198491
108,-0.07354459
109,-0.07988288
110,-0.08165071
111,-0.083944604
112,-0.040965885
113,-0.05212582
114,-0.059489675
115,-0.061623048
116,-0.06243135
117,-0.06006865
118,-0.05526988
119,-0.04878895
120,-0.044677507
121,-0.042578846
122,-0.04373042
123,-0.046015132
124,-0.0010408493
125,-0.025770303
126,-0.042194743
127,-0.0542329
128,-0.062387444
129,-0.06804264
