,0
0,277.32562
1,277.3211
2,277.3489
3,277.38815
4,277.43317
5,277.57346
6,277.60727
7,277.63834
8,277.7409
9,277.731
10,277.87198
11,277.88843
12,277.8937
13,277.88757
14,277.8415
15,277.82953
16,277.80426
17,277.70593
18,277.66623
19,277.63928
20,277.5277
21,277.42892
22,277.38596
23,277.36517
24,277.35455
25,277.35382
26,277.41046
27,277.41046
28,277.4486
29,277.5718
30,277.6138
31,277.66916
32,277.76184
33,277.79913
34,277.88058
35,277.89258
36,277.87576
37,277.85748
38,277.7926
39,277.7973
40,277.77707
41,277.66156
42,277.62094
43,277.57925
44,277.50946
45,277.41895
46,277.37753
47,277.35553
48,277.33466
49,277.32184
50,277.3715
51,277.38965
52,277.40897
53,277.53152
54,277.58426
55,277.62915
56,277.73315
57,277.77585
58,277.84158
59,277.87915
60,277.89453
61,277.89734
62,277.8496
63,277.83572
64,277.81937
65,277.73663
66,277.6896
67,277.65823
68,277.59018
69,277.5285
70,277.44907
71,277.41455
72,277.40082
73,277.4104
74,277.4673
75,277.50558
76,277.5265
77,277.66028
78,277.71838
79,277.76862
80,277.87994
81,277.9407
82,278.03348
83,278.04517
84,278.05716
85,278.047
86,277.9967
87,278.00992
88,277.97964
89,277.8752
90,277.83505
91,277.80792
92,277.71335
93,277.59222
94,277.52057
95,277.48364
96,277.47195
97,277.46854
98,277.50345
99,277.5645
100,277.60358
101,277.71918
102,277.76962
103,277.80835
104,277.90753
105,277.91702
106,278.0237
107,278.04706
108,278.03934
109,278.04617
110,277.98535
111,277.98203
112,277.95218
113,277.8585
114,277.79504
115,277.74945
116,277.66953
117,277.59097
118,277.5123
119,277.47873
120,277.47787
121,277.47104
122,277.5036
123,277.53635
124,277.5736
125,277.6982
126,277.7374
127,277.7838
128,277.8838
129,277.91333
130,278.0316
131,278.0408
132,278.04706
133,278.04178
134,277.98053
135,277.96445
136,277.92358
137,277.81754
138,277.77844
139,277.7396
140,277.666
141,277.5839
142,277.50055
143,277.46375
144,277.42307
145,277.41684
146,277.45807
147,277.46512
148,277.491
149,277.5989
150,277.6441
151,277.69662
152,277.7984
153,277.8596
154,277.91296
155,277.92728
156,277.91995
157,277.90616
158,277.83838
159,277.86917
160,277.8272
161,277.72403
162,277.6537
163,277.6152
164,277.53067
165,277.4499
166,277.3197
167,277.30124
168,277.273
169,277.26392
170,277.32275
171,277.35934
172,277.39807
173,277.52325
174,277.5605
175,277.60315
176,277.7211
177,277.75223
178,277.81613
179,277.8229
180,277.82718
181,277.82275
182,277.74622
183,277.73575
184,277.69992
185,277.6045
186,277.52924
187,277.49905
188,277.4118
189,277.34702
190,277.21713
191,277.17795
192,277.15482
193,277.14917
194,277.19376
195,277.19635
196,277.2289
197,277.3526
198,277.4016
199,277.4328
200,277.55045
201,277.59552
202,277.62268
203,277.61133
204,277.61758
205,277.60098
206,277.5312
207,277.5147
208,277.4644
209,277.36417
210,277.31284
211,277.2852
212,277.2137
213,277.18237
214,277.0632
215,277.02863
216,276.99402
217,276.9787
218,277.04633
219,277.0594
220,277.08948
221,277.23325
222,277.28363
223,277.33752
224,277.44717
225,277.52234
226,277.54156
227,277.55045
228,277.5654
229,277.55154
230,277.4881
231,277.4957
232,277.47623
233,277.37817
234,277.347
235,277.3281
236,277.21896
237,277.11987
238,277.067
239,277.03815
240,277.02002
241,277.03055
242,277.0713
243,277.0914
244,277.10544
245,277.21265
246,277.2525
247,277.2969
248,277.39432
249,277.43698
250,277.49017
251,277.50055
252,277.4831
253,277.46945
254,277.3881
255,277.39316
256,277.36273
257,277.25204
258,277.19046
259,277.14407
260,277.0583
261,276.99716
262,276.94427
263,276.9114
264,276.8966
265,276.89212
266,276.93976
267,276.94485
268,276.9767
269,277.1023
270,277.13208
271,277.1726
272,277.292
273,277.34192
274,277.35825
275,277.3678
276,277.35727
