,0
0,1.0350911e-05
1,1.0741364e-05
2,1.1015803e-05
3,1.166591e-05
4,1.1524392e-05
5,1.1641257e-05
6,1.1667724e-05
7,1.1573498e-05
8,1.1722943e-05
9,1.2367483e-05
10,1.3309744e-05
11,1.3819789e-05
12,1.4395268e-05
13,1.4028619e-05
14,1.3913444e-05
15,1.3998464e-05
16,1.293267e-05
17,1.2475518e-05
18,1.1878649e-05
19,1.0985379e-05
20,1.0474547e-05
21,1.03086895e-05
22,1.0371669e-05
23,1.0371426e-05
24,1.0478436e-05
25,1.0592662e-05
26,1.08085815e-05
27,1.091685e-05
28,1.0875921e-05
29,1.0919293e-05
30,1.0922653e-05
31,1.093756e-05
32,1.1402376e-05
33,1.2199632e-05
34,1.2992929e-05
35,1.3540666e-05
36,1.3791988e-05
37,1.3101358e-05
38,1.30643975e-05
39,1.3079404e-05
40,1.2557982e-05
41,1.185977e-05
42,1.0840407e-05
43,1.04716955e-05
44,1.02575195e-05
45,1.0152758e-05
46,1.0220017e-05
47,1.0570234e-05
48,1.0587337e-05
49,1.115981e-05
50,1.123052e-05
51,1.1557391e-05
52,1.1534252e-05
53,1.1425041e-05
54,1.1365851e-05
55,1.1483238e-05
56,1.2092666e-05
57,1.2563085e-05
58,1.3290284e-05
59,1.3691002e-05
60,1.3405277e-05
61,1.4132912e-05
62,1.3169086e-05
63,1.3213388e-05
64,1.2790047e-05
65,1.2119218e-05
66,1.14364075e-05
67,1.0517243e-05
68,1.0135023e-05
69,9.602329e-06
70,9.610533e-06
71,9.642963e-06
72,1.01390915e-05
73,1.0261182e-05
74,1.0872686e-05
75,1.1047859e-05
76,1.1096542e-05
77,1.1333814e-05
78,1.1440531e-05
79,1.182094e-05
80,1.2027367e-05
81,1.2485843e-05
82,1.3007248e-05
83,1.370932e-05
84,1.388985e-05
85,1.40601505e-05
86,1.39139e-05
87,1.4355688e-05
88,1.3130669e-05
89,1.26713085e-05
90,1.1911032e-05
91,1.1041232e-05
92,1.0722703e-05
93,1.0543929e-05
94,1.0552031e-05
95,1.07263095e-05
96,1.1130663e-05
97,1.1358506e-05
98,1.1484764e-05
99,1.14727445e-05
100,1.1399393e-05
101,1.1907642e-05
102,1.16925985e-05
103,1.1731333e-05
104,1.2152707e-05
105,1.2782529e-05
106,1.3099857e-05
107,1.3936546e-05
108,1.3807576e-05
109,1.3660536e-05
110,1.4003411e-05
111,1.3828587e-05
112,1.3386252e-05
113,1.2555304e-05
114,1.179491e-05
115,1.1163563e-05
116,1.0861901e-05
117,1.0780134e-05
118,1.055377e-05
119,1.0718387e-05
120,1.0826787e-05
121,1.1120186e-05
122,1.1325689e-05
123,1.1646001e-05
124,1.2409627e-05
125,1.2587244e-05
126,1.2310496e-05
127,1.2323279e-05
128,1.2657673e-05
129,1.3120639e-05
130,1.356978e-05
131,1.4331624e-05
132,1.4262386e-05
133,1.38766545e-05
134,1.3608978e-05
135,1.3564005e-05
136,1.2943553e-05
137,1.2668937e-05
138,1.1915487e-05
139,1.1155137e-05
140,1.089679e-05
141,1.0702442e-05
142,1.072038e-05
143,1.0939135e-05
144,1.09681505e-05
145,1.1338067e-05
146,1.1682118e-05
147,1.1812049e-05
148,1.1736306e-05
149,1.1864931e-05
150,1.1877107e-05
151,1.2050959e-05
152,1.2267121e-05
153,1.2899149e-05
