,0
0,58110.836
1,58062.492
2,58052.82
3,58009.312
4,58043.15
5,58033.484
6,58033.484
7,58018.977
8,58062.492
9,58101.17
10,58110.836
11,58154.35
12,58110.836
13,58096.336
14,58043.15
15,57989.97
16,58038.32
17,58115.67
18,58115.67
19,58110.836
20,58062.492
21,58047.984
22,58076.992
23,58081.83
24,58072.164
25,58110.836
26,58168.85
27,58193.03
28,58212.367
29,58212.367
30,58217.203
31,58236.54
32,58188.195
33,58168.85
34,58183.36
35,58159.188
36,58154.35
37,58135.016
38,58135.016
39,58149.516
40,58183.36
41,58217.203
42,58207.53
43,58217.203
44,58164.023
45,58154.35
