,0
0,0.40830526
1,0.40601262
2,0.4075248
3,0.40408203
4,0.4035906
5,0.40215394
6,0.40598023
7,0.40186226
8,0.4031716
9,0.40273896
10,0.40419388
11,0.39892027
12,0.40108877
13,0.3996714
14,0.3995246
15,0.4036393
16,0.40853488
17,0.40974483
18,0.40189832
19,0.40819275
20,0.40702322
21,0.40364876
22,0.4034611
23,0.40491822
24,0.40147778
25,0.4044393
26,0.407291
27,0.40570924
28,0.406712
29,0.40607753
30,0.40905625
31,0.40743074
32,0.40644872
33,0.403888
34,0.40302184
35,0.40437633
36,0.40397185
37,0.4016409
38,0.40332198
39,0.40303367
40,0.40471706
41,0.407476
42,0.40760002
43,0.4078004
44,0.4094814
45,0.4122915
46,0.4139359
47,0.40858325
48,0.4094698
49,0.41559282
50,0.4152459
51,0.41095394
52,0.4120598
53,0.41506246
54,0.40867427
55,0.4095966
56,0.40798092
57,0.40898803
58,0.4097819
59,0.40588027
60,0.40693474
61,0.40786883
62,0.40818715
63,0.41093677
64,0.406536
65,0.4060869
66,0.41009784
67,0.40775982
68,0.41160268
69,0.41246262
70,0.41034532
71,0.41150174
72,0.41110894
73,0.40945905
74,0.40968257
75,0.41196123
76,0.4104362
77,0.41002437
78,0.4103238
79,0.40910774
80,0.4104222
81,0.4120101
82,0.4137453
83,0.40888727
84,0.40886232
85,0.41127232
86,0.41019168
87,0.40757078
88,0.4070524
89,0.40903246
90,0.40779287
91,0.40775383
92,0.40775713
93,0.41172403
94,0.40949553
95,0.41094851
96,0.4118397
97,0.4107978
98,0.40846398
99,0.41103932
100,0.41253644
101,0.41310328
102,0.4114637
103,0.41302535
104,0.40897718
105,0.4062714
106,0.4084661
107,0.4113404
108,0.40890735
109,0.40507978
110,0.41061655
111,0.41433534
112,0.4103983
113,0.41088375
114,0.4121912
115,0.4104391
116,0.41309002
117,0.41303793
118,0.4132312
119,0.41275027
120,0.41190782
121,0.41278195
122,0.4114593
123,0.41087285
124,0.41258773
125,0.41216195
126,0.414837
127,0.41193253
128,0.4135286
129,0.41488886
130,0.41679832
131,0.41830602
132,0.41808635
133,0.4161895
134,0.41787106
135,0.41736406
136,0.41669726
137,0.41566235
138,0.42031518
139,0.4176724
140,0.4181037
141,0.41771016
142,0.41739845
143,0.41471425
144,0.417683
145,0.41399592
146,0.41313156
147,0.41107917
148,0.41236275
149,0.4131173
150,0.41314507
151,0.41264564
152,0.41223294
153,0.4134385
154,0.40925077
155,0.40916768
156,0.40625098
157,0.4058517
158,0.40532544
159,0.40226713
160,0.40568888
161,0.40563262
162,0.40524212
163,0.40837067
164,0.410948
165,0.40776712
166,0.40595946
167,0.404762
168,0.40717348
169,0.4063363
170,0.4054039
171,0.40181467
172,0.40675408
173,0.4047388
174,0.40686333
175,0.40594867
176,0.40596667
177,0.4071186
178,0.4055285
179,0.405716
180,0.40843657
181,0.40574127
182,0.4078736
183,0.40758318
184,0.40880173
185,0.4075133
186,0.40683421
187,0.4127285
188,0.4096729
189,0.40843996
190,0.40997735
191,0.41060835
192,0.41371843
193,0.40846795
194,0.40957615
195,0.40680537
196,0.40760824
197,0.4119307
198,0.40804803
199,0.41035748
200,0.40813515
201,0.40742925
202,0.40762505
203,0.4100856
204,0.4079401
205,0.4115954
206,0.40920082
207,0.40761653
208,0.4074681
209,0.40921023
210,0.4103673
211,0.4115431
212,0.41412687
213,0.4098804
214,0.40748644
215,0.41044626
216,0.40831923
217,0.40762344
218,0.4114745
219,0.41072685
220,0.40895808
221,0.41013464
222,0.4092119
223,0.4116344
224,0.41161066
225,0.41361386
226,0.40937048
227,0.4108428
228,0.41353792
229,0.40919006
230,0.41520777
231,0.4127862
232,0.41203043
233,0.4120874
234,0.41208193
235,0.41031417
236,0.41163287
237,0.41089845
238,0.4117527
239,0.40835178
240,0.4095939
241,0.41095456
242,0.41019827
243,0.4126926
244,0.40912992
245,0.41042262
246,0.41187897
247,0.4094229
248,0.4107094
249,0.4125187
250,0.40869668
251,0.40956354
252,0.40879577
253,0.4094832
254,0.4117817
255,0.4079141
256,0.4117521
257,0.41190284
258,0.4102376
259,0.40844133
260,0.41184092
261,0.41553777
262,0.41390842
263,0.4150934
264,0.41446823
265,0.4140122
266,0.41495338
267,0.4120505
268,0.41250592
269,0.4167177
270,0.4118984
271,0.41339892
272,0.41344184
273,0.4150764
274,0.41206327
275,0.4114116
276,0.41010445
