,0
0,4.662015
1,4.6687427
2,4.674955
3,4.672907
4,4.7146044
5,4.7119913
6,4.7203574
7,4.7306366
8,4.7386074
9,4.7439036
10,4.7412877
11,4.737665
12,4.7315683
13,4.7250724
14,4.71137
15,4.696947
16,4.7303824
17,4.734931
18,4.746071
19,4.7509713
20,4.7510138
21,4.7519298
22,4.7580466
23,4.762746
24,4.7771735
25,4.8020678
26,4.8236785
27,4.836691
28,4.8787737
29,4.881223
30,4.891475
31,4.90505
32,4.9158926
33,4.912952
34,4.90225
35,4.8909397
36,4.878815
37,4.8612843
38,4.8436723
39,4.835289
40,4.8476925
41,4.8449936
42,4.8441725
43,4.8379817
44,4.829717
45,4.820642
46,4.813279
47,4.810278
48,4.80973
49,4.817479
50,4.813581
51,4.8054237
52,4.8184934
53,4.805059
54,4.8008657
55,4.8034825
56,4.80376
57,4.7992344
58,4.786222
59,4.7738976
60,4.7572713
61,4.738065
62,4.7099476
63,4.674779
64,4.6806192
65,4.6596727
66,4.6398773
67,4.620154
68,4.5990763
69,4.5760293
70,4.5668406
71,4.5642986
72,4.5666876
73,4.5840535
74,4.592628
75,4.592918
76,4.6664495
77,4.663989
78,4.6653285
79,4.663046
80,4.6579533
81,4.644741
82,4.6344466
83,4.6244106
84,4.6096272
85,4.595978
86,4.5720887
87,4.5432444
88,4.54974
89,4.5391526
90,4.5366526
91,4.5405865
92,4.5392075
93,4.531184
94,4.531379
95,4.5355186
96,4.5451427
97,4.570769
98,4.5907855
99,4.60218
100,4.647845
101,4.6594977
102,4.6805515
103,4.704064
104,4.7272925
105,4.740463
106,4.7450237
107,4.7511663
108,4.7565217
