,0
0,1259.47
1,1253.8875
2,1247.925
3,1242.8243
4,1242.4565
5,1239.4952
6,1238.312
7,1237.1604
8,1238.5565
9,1240.2949
10,1241.8724
11,1240.9438
12,1237.2621
13,1233.535
14,1229.2545
15,1226.4379
16,1226.9227
17,1225.3778
18,1227.5714
19,1230.8358
20,1234.775
21,1239.0543
22,1241.8467
23,1243.0844
24,1242.704
25,1241.3373
26,1237.4406
27,1234.6846
28,1243.9403
29,1242.1749
30,1241.3721
31,1243.1304
32,1244.8843
33,1246.2314
34,1248.8802
35,1250.006
36,1247.9854
37,1244.8503
38,1241.678
39,1238.9858
40,1244.8252
41,1247.3396
42,1251.3147
43,1254.7843
44,1259.4912
45,1263.8822
46,1267.9093
47,1270.1454
48,1270.8052
49,1271.8601
50,1270.3866
51,1271.182
52,1281.8441
53,1282.8285
54,1283.9722
55,1287.1127
56,1292.4766
57,1298.0208
58,1301.8705
59,1304.0669
60,1303.7145
61,1303.6487
62,1301.4652
63,1299.114
64,1302.7129
65,1304.4587
66,1305.1844
67,1308.4689
68,1312.6705
69,1315.0831
70,1317.0096
71,1315.9741
72,1313.7054
73,1310.836
74,1305.3596
75,1299.0195
76,1295.9697
77,1292.5961
78,1289.5428
79,1288.9983
80,1288.2582
81,1289.2802
82,1288.431
83,1285.4548
84,1279.0061
85,1273.9617
86,1266.6953
87,1258.5906
88,1254.3744
89,1252.2529
90,1251.9447
91,1251.1188
92,1253.013
93,1254.152
94,1254.7981
95,1253.5767
96,1250.058
97,1247.6613
98,1242.7853
99,1238.4822
100,1237.8901
101,1234.2712
102,1234.5393
103,1233.7758
104,1236.7275
105,1238.6263
106,1241.0007
107,1241.1146
108,1239.6857
109,1237.6079
110,1233.6722
111,1229.4211
112,1227.5428
113,1226.3744
114,1226.8674
115,1227.0944
116,1227.9728
117,1228.8236
118,1228.3307
119,1227.6233
120,1225.1321
121,1221.3384
122,1214.0331
123,1208.0731
124,1205.0432
125,1201.5836
126,1199.6108
127,1196.6729
128,1195.8931
129,1196.3009
130,1195.3982
131,1194.8826
132,1190.4088
133,1186.0833
134,1182.3219
135,1178.6841
136,1178.5435
137,1178.2963
138,1180.7013
139,1182.6628
140,1184.4412
141,1185.1991
142,1185.3188
143,1184.1516
144,1181.159
145,1177.5696
146,1174.2644
147,1173.3317
148,1177.2465
149,1176.7915
150,1177.8754
151,1177.9712
152,1179.1523
153,1180.8044
154,1181.7821
155,1182.0469
156,1180.6544
157,1179.4928
158,1180.895
159,1182.618
160,1188.9243
161,1191.8928
162,1196.7328
163,1202.1431
164,1205.1965
165,1207.1798
