,0
0,104680.01
1,104771.12
2,104822.73
3,104956.516
4,105102.22
5,105207.42
6,105038.9
7,104781.05
8,104510.68
9,104013.234
10,103760.15
11,103607.695
12,103440.36
13,103458.23
14,103540.41
15,103511.02
16,103511.02
17,103465.17
18,103415.35
19,103338.53
20,103384.78
21,103417.53
22,103435.0
23,103594.0
24,103681.94
25,103771.06
26,103786.35
27,103939.195
28,104162.71
29,104370.94
30,104544.03
31,104675.836
32,104493.81
33,104033.88
34,103596.38
35,103178.336
36,103170.99
37,103214.664
38,103237.09
39,103228.95
40,103339.52
41,103535.445
42,103573.95
43,103559.46
44,103627.55
45,103702.98
46,103610.67
47,103726.6
48,103995.97
49,104155.766
50,104460.266
51,104583.53
52,104667.1
53,104769.73
54,104879.695
55,104491.03
56,104062.86
57,103561.05
58,103407.01
59,103387.555
60,103417.53
61,103510.03
62,103575.734
63,103631.516
64,103721.836
65,103882.82
66,104016.21
67,104007.28
68,103955.27
69,103880.64
70,103887.984
71,103918.35
72,103861.38
73,103670.02
74,103702.38
75,103910.21
76,103899.695
77,104331.63
78,104616.88
79,104631.766
80,104710.97
81,104420.766
82,104018.2
83,103903.266
84,103928.28
85,103945.15
86,103943.76
87,103943.96
88,103976.12
89,103990.016
90,104013.836
91,104078.74
92,104112.69
93,104109.71
94,104110.9
95,104096.61
96,104085.69
97,104360.62
98,104676.04
99,105127.625
100,105080.19
101,105214.375
102,105351.54
103,105338.04
104,105063.31
105,104651.42
106,104131.55
107,104132.734
108,104156.555
109,104297.09
110,104263.75
111,104288.164
112,104291.14
113,104285.58
114,104268.91
115,104296.3
116,104296.3
117,104316.15
118,104321.12
119,104340.766
120,104353.47
121,104456.89
122,104445.375
123,104519.81
124,104792.16
125,104794.34
126,105016.266
127,104784.02
128,104471.18
129,104468.8
130,104448.95
131,104469.59
132,104473.766
133,104608.55
134,104580.76
135,104599.414
136,104603.58
137,104588.89
138,104603.98
139,104608.34
140,104617.48
141,104610.53
142,104627.8
143,104635.14
144,104634.55
145,104738.96
146,104731.62
147,104710.97
148,104730.23
149,104718.914
150,104738.766
151,104727.05
152,104734.0
153,104725.664
154,104721.09
155,104726.45
156,104719.7
157,104856.27
158,104787.4
159,104792.76
160,104775.88
161,104769.33
162,104760.59
163,104764.37
164,104766.555
165,104742.93
166,104723.48
167,104708.39
168,104709.38
169,104805.26
170,104780.65
171,104747.5
172,104737.766
173,104723.48
174,104719.7
175,104669.69
176,104656.19
177,104628.59
178,104602.984
179,104595.64
180,104537.68
181,104672.46
182,104619.06
183,104590.28
184,104563.484
185,104514.66
186,104494.805
187,104459.67
188,104447.76
189,104414.21
190,104397.336
191,104358.234
192,104347.31
193,104413.81
194,104374.71
195,104316.945
196,104331.44
197,104415.8
198,104293.32
199,104254.22
200,104206.58
201,104191.69
202,104131.15
203,104096.016
204,104068.22
205,104177.59
206,104167.87
207,104148.62
208,104131.94
209,104115.266
210,104081.92
