,0
0,-0.006224915
1,-0.0071832803
2,-0.008279973
3,-0.008457405
4,-0.009719855
5,-0.009045147
6,-0.007793786
7,-0.0071167434
8,-0.006174137
9,-0.0056027365
10,-0.007038533
11,-0.008772579
12,-0.010792034
13,-0.011922577
14,-0.009460127
15,-0.0088233575
16,-0.009999427
17,-0.009947482
18,-0.010871994
19,-0.011708375
20,-0.019099811
21,-0.028884243
22,-0.017159734
23,-0.0076939804
24,-0.005521608
25,-0.011982694
26,-0.012115768
27,-0.011340087
28,-0.00884612
29,-0.008312074
30,-0.009654486
31,-0.0076735527
32,-0.0056295847
33,-0.005090869
34,-0.004641453
35,-0.004829974
36,-0.005944176
37,-0.0065698563
38,-0.006507989
39,-0.0060556545
40,-0.006352152
41,-0.007389311
42,-0.0104453415
43,-0.011971605
44,-0.013107985
45,-0.012292033
46,-0.012715768
47,-0.010239894
48,-0.010132501
49,-0.0171574
50,-0.015206234
51,-0.010913434
52,-0.0069515686
53,-0.006960907
54,-0.006502736
55,-0.0065891175
56,-0.0071838642
57,-0.009034641
58,-0.009409349
59,-0.009536587
60,-0.009637559
61,-0.011138142
62,-0.012324134
63,-0.011967519
64,-0.011316158
65,-0.00995682
66,-0.008525692
67,-0.007969467
68,-0.009683669
69,-0.009878026
70,-0.009270439
71,-0.016091058
72,-0.018097673
73,-0.014313238
74,-0.014976856
75,-0.014561293
76,-0.012659737
77,-0.010905847
78,-0.007823553
79,-0.007489117
80,-0.007947871
81,-0.00741616
