,0
0,5.6422954
1,5.6511445
2,5.658548
3,5.6649866
4,5.644564
5,5.6454906
6,5.644903
7,5.6461215
8,5.6510134
9,5.655852
10,5.661935
11,5.6647363
12,5.6667514
13,5.663203
14,5.6595287
15,5.659526
16,5.617614
17,5.6238055
18,5.634813
19,5.63414
20,5.6307244
21,5.6270175
22,5.6228013
23,5.624271
24,5.629682
25,5.634482
26,5.640768
27,5.6460185
28,5.6544957
29,5.65285
30,5.6433043
31,5.63359
32,5.6282916
33,5.6270084
34,5.62822
35,5.630531
36,5.6387753
37,5.6497927
38,5.661796
39,5.6700573
40,5.6474185
41,5.653291
42,5.6456456
43,5.63155
44,5.61875
45,5.6148086
46,5.61803
47,5.629996
48,5.6447086
49,5.6605577
50,5.6704445
51,5.674167
52,5.6660204
53,5.654772
54,5.6347656
55,5.6196513
56,5.6158657
57,5.6147957
58,5.6178117
59,5.6229672
60,5.632303
61,5.641331
62,5.646897
63,5.6484046
64,5.6024103
65,5.592794
66,5.58921
67,5.589998
68,5.589971
69,5.5956964
70,5.600625
71,5.6113424
72,5.619427
73,5.6206174
74,5.623957
75,5.6233835
76,5.570419
77,5.5617948
78,5.557415
79,5.5555406
80,5.5581427
81,5.565082
82,5.574358
83,5.5833735
84,5.594421
85,5.6048603
86,5.6099925
87,5.609988
88,5.5409603
89,5.543196
90,5.5493593
91,5.553238
92,5.5548687
93,5.551657
94,5.54754
95,5.5468574
96,5.5493956
97,5.5511675
98,5.5538235
99,5.5524325
100,5.5210514
101,5.51442
102,5.5109534
103,5.504941
104,5.5011687
105,5.5013947
106,5.497684
107,5.490751
108,5.4848156
109,5.479368
110,5.472153
111,5.462012
112,5.360801
113,5.3577194
114,5.3535995
115,5.3474193
116,5.340706
117,5.3445706
118,5.3493447
119,5.3574286
120,5.368207
121,5.37159
122,5.3714414
123,5.365068
124,5.3168783
125,5.312585
126,5.311409
127,5.3187456
128,5.3277674
129,5.338633
130,5.352953
131,5.364467
132,5.383241
133,5.3988314
134,5.408791
135,5.414586
136,5.3835115
137,5.3960176
138,5.41289
139,5.4326997
140,5.451787
141,5.4710407
142,5.490003
143,5.5115414
144,5.5315948
145,5.552284
146,5.5714064
147,5.586528
148,5.5563726
149,5.576769
150,5.5902715
151,5.60449
152,5.621705
153,5.6426787
154,5.661146
155,5.6753497
156,5.6867495
157,5.696279
158,5.7003717
159,5.698295
160,5.637229
161,5.6356034
162,5.6316643
163,5.6252656
164,5.618472
165,5.620272
166,5.6216984
167,5.6267066
168,5.6371527
169,5.6424036
170,5.6476865
171,5.6481776
172,5.5722747
173,5.5726185
174,5.582628
175,5.591591
176,5.606632
177,5.623774
178,5.6368666
179,5.647284
180,5.655739
