,0
0,215.28365
1,215.05681
2,213.8873
3,213.98445
4,213.87473
5,213.30661
6,214.29181
7,214.42311
8,214.1139
9,215.26672
10,213.66093
11,213.9804
12,214.69817
13,214.20062
14,215.14043
15,215.9306
16,215.71927
17,215.90924
18,215.32083
19,215.80829
20,216.21346
21,216.36201
22,214.6965
23,214.22762
24,214.50038
25,214.5122
26,214.74052
27,214.72273
28,214.72237
29,216.89198
30,216.62518
31,216.76672
32,217.3392
33,217.59479
34,215.89124
35,216.2484
36,216.67496
37,216.67395
38,216.93886
39,216.8373
40,217.00151
41,216.74141
42,216.71928
43,216.94028
44,216.50174
45,217.68588
46,216.5192
47,216.7395
48,216.8955
49,216.89752
50,217.07124
51,216.29114
52,216.33855
53,217.16635
54,217.2638
55,217.36938
56,217.05554
57,216.32037
58,216.42279
59,216.27907
60,216.55763
61,216.42026
62,216.46457
63,217.53262
64,216.94987
65,216.88971
66,216.14648
67,216.03386
68,217.14995
69,218.07903
70,216.0295
71,215.48712
72,215.5603
73,215.66846
74,215.80804
75,216.45131
76,216.83165
77,216.43343
78,215.30528
79,215.85295
80,216.08728
81,216.6866
82,215.4021
83,215.15764
84,214.86021
85,215.7098
86,216.61389
87,216.74051
88,218.1054
89,219.35306
90,219.06085
91,218.79738
92,218.07834
93,218.70468
94,218.47067
95,218.70886
96,218.92555
97,219.08316
98,219.35582
99,219.40607
100,219.26
101,219.03137
102,218.91907
103,219.05928
104,219.00763
105,218.26393
106,217.87914
107,217.8215
108,217.66624
109,218.45892
110,219.61943
111,219.56662
112,219.43472
113,220.48764
114,220.14867
115,220.07161
116,220.17651
117,220.43692
118,220.45746
119,220.20212
120,219.8557
121,219.98036
122,219.2341
123,219.50565
124,219.89864
125,219.84532
126,220.41458
127,220.42537
128,220.07477
129,219.44592
130,218.25871
131,218.37878
132,218.5607
