,0
0,1.433707e-05
1,1.3492766e-05
2,1.304222e-05
3,1.2250973e-05
4,1.1764374e-05
5,1.1559478e-05
6,1.1634209e-05
7,1.1534165e-05
8,1.1599059e-05
9,1.1627681e-05
10,1.2187552e-05
11,1.2243285e-05
12,1.22983965e-05
13,1.2253726e-05
14,1.2175836e-05
15,1.2248078e-05
16,1.2232087e-05
17,1.2780689e-05
18,1.31459165e-05
19,1.332907e-05
20,1.3729028e-05
21,1.3461277e-05
22,1.3313411e-05
23,1.3344316e-05
24,1.3459501e-05
25,1.2371725e-05
26,1.20042105e-05
27,1.111683e-05
28,1.0507784e-05
29,1.0192512e-05
30,1.0287586e-05
31,1.01664555e-05
32,1.0215384e-05
33,1.0437231e-05
34,1.0822938e-05
35,1.1254001e-05
36,1.1084571e-05
37,1.11267855e-05
38,1.1223126e-05
39,1.1192071e-05
40,1.1552096e-05
41,1.2109787e-05
42,1.2907564e-05
43,1.3411996e-05
44,1.3596661e-05
45,1.3507252e-05
46,1.3867669e-05
47,1.39412605e-05
48,1.3726078e-05
49,1.3114689e-05
50,1.2546502e-05
51,1.18692415e-05
52,1.1175586e-05
53,1.0987629e-05
54,1.0812712e-05
55,1.1008525e-05
56,1.12374455e-05
57,1.1555921e-05
58,1.213588e-05
59,1.2165713e-05
60,1.2068318e-05
61,1.1832353e-05
62,1.1674536e-05
63,1.1754411e-05
64,1.2001592e-05
65,1.2206141e-05
66,1.2770112e-05
67,1.3163102e-05
68,1.3629939e-05
69,1.2982031e-05
70,1.3057938e-05
71,1.35892415e-05
72,1.3052668e-05
73,1.3338609e-05
74,1.2257713e-05
75,1.14758295e-05
76,1.1138539e-05
77,1.10537785e-05
78,1.1002938e-05
79,1.1009677e-05
80,1.1365918e-05
81,1.1625554e-05
82,1.2095413e-05
83,1.2007478e-05
84,1.1807009e-05
85,1.1484453e-05
86,1.1801341e-05
87,1.1765641e-05
88,1.2198201e-05
89,1.2513761e-05
90,1.3270451e-05
91,1.3498459e-05
92,1.3473824e-05
93,1.2897482e-05
94,1.30301405e-05
95,1.3030258e-05
96,1.3601662e-05
97,1.3322528e-05
98,1.2594688e-05
99,1.2008135e-05
100,1.1346689e-05
101,1.1265715e-05
102,1.1216536e-05
103,1.1427616e-05
104,1.1632865e-05
105,1.1794206e-05
106,1.2069257e-05
107,1.2132715e-05
108,1.2300504e-05
109,1.2912942e-05
110,1.26880905e-05
111,1.2855916e-05
