,0
0,-56.522926
1,-56.328724
2,-55.972706
3,-55.42789
4,-54.975082
5,-54.59044
6,-54.28547
7,-54.557564
8,-54.110413
9,-53.86182
10,-53.5196
11,-53.210068
12,-53.111084
13,-52.951004
14,-53.040882
15,-53.391674
16,-53.747154
17,-54.094833
18,-54.663605
19,-55.497776
20,-55.65635
21,-55.979176
22,-55.97261
23,-55.941147
24,-55.85576
25,-55.56229
26,-55.14352
27,-54.792603
28,-54.27855
29,-53.90277
30,-53.628014
31,-53.350983
32,-53.09817
33,-52.825836
34,-52.62994
35,-52.425957
36,-52.34864
37,-52.36241
38,-52.73187
39,-53.183483
40,-53.692005
41,-54.192688
42,-54.84484
43,-55.681843
44,-56.00702
45,-56.249893
46,-56.255936
47,-56.29366
48,-56.367393
49,-56.351727
50,-56.307102
51,-55.998325
52,-55.695267
53,-55.322105
54,-55.037857
55,-54.95418
56,-54.622444
57,-54.36062
58,-54.029915
59,-53.816437
60,-53.53517
61,-53.53948
62,-53.636494
63,-54.01293
64,-54.36765
65,-54.816105
66,-55.26747
67,-55.89987
68,-56.21859
69,-56.53721
70,-56.575462
71,-56.624237
72,-56.624874
73,-56.290714
74,-56.008587
75,-55.541252
76,-55.18811
77,-54.77931
78,-54.409424
79,-54.440723
80,-54.084766
81,-53.850235
82,-53.428795
83,-53.29053
84,-53.004692
85,-53.039516
86,-53.304024
87,-53.557487
88,-54.005074
89,-54.46061
90,-54.92245
91,-55.6973
92,-55.908226
93,-56.111145
94,-56.09602
95,-56.10483
96,-55.88335
97,-55.65634
98,-55.3802
99,-54.9647
100,-54.49866
101,-54.14013
102,-53.764313
103,-53.79204
104,-53.449284
105,-53.136124
106,-52.93965
107,-52.656387
108,-52.452583
109,-52.34543
110,-52.44467
111,-52.67897
112,-52.94535
113,-53.2915
114,-53.840748
115,-54.765068
116,-55.090073
117,-55.334816
118,-55.431156
119,-55.46618
120,-55.35098
121,-55.212177
122,-54.85436
123,-54.500847
124,-54.09525
125,-53.72907
126,-53.463303
127,-53.45819
128,-53.16374
129,-52.952747
130,-52.665752
131,-52.4081
132,-52.23849
133,-52.25986
134,-52.44826
135,-52.87546
136,-53.332962
137,-53.75353
138,-54.345875
