,0
0,-366.3833
1,-358.4682
2,-350.0558
3,-359.0545
4,-373.911
5,-388.63144
6,-393.52603
7,-382.3653
8,-373.40326
9,-360.3423
10,-343.21384
11,-328.70282
12,-327.02246
13,-329.57706
14,-340.3399
15,-348.26025
16,-352.2806
17,-354.84045
18,-354.9661
19,-358.35828
20,-368.6657
21,-374.8952
22,-378.31354
23,-376.03113
24,-372.4505
25,-363.45703
26,-354.5159
27,-371.59723
28,-389.12875
29,-387.56354
30,-393.1753
31,-389.9192
32,-373.6807
33,-361.4416
34,-344.4702
35,-336.82208
36,-327.89142
37,-336.4923
38,-347.52737
39,-355.4634
40,-361.6824
41,-364.81287
42,-364.48306
43,-362.41528
44,-368.3935
45,-375.63855
46,-380.34467
47,-380.86816
48,-376.95248
49,-367.5559
50,-353.9453
51,-355.945
52,-375.64377
53,-383.19244
54,-383.7002
55,-378.66428
56,-359.94968
57,-347.63208
58,-339.74313
59,-330.76013
60,-333.03204
61,-347.56924
62,-359.69318
63,-367.17902
64,-372.70703
65,-371.91656
66,-363.90198
67,-362.4781
68,-367.11096
69,-371.94272
70,-378.94696
71,-379.5699
72,-374.99463
73,-365.56143
74,-357.47357
75,-345.45435
76,-354.2175
77,-352.94543
78,-354.01337
79,-342.42862
80,-345.77368
81,-347.20282
82,-341.9575
83,-333.42468
84,-341.3136
85,-353.6731
86,-364.7343
87,-371.54486
88,-375.4396
89,-373.9529
90,-369.19443
91,-367.72345
92,-372.20447
93,-373.4137
94,-373.83774
95,-374.00525
96,-369.99536
97,-364.04333
98,-358.46298
99,-347.57446
100,-359.90778
101,-369.49805
102,-368.88556
103,-372.0265
104,-355.6466
105,-342.97827
106,-339.3296
107,-331.50873
108,-345.21356
109,-356.49466
110,-365.80225
111,-373.7121
112,-375.89502
113,-377.5545
114,-381.58533
115,-377.98898
116,-368.14746
117,-364.91232
118,-374.5392
119,-378.5805
120,-375.77466
121,-366.11633
122,-352.4272
123,-344.24512
124,-355.27496
125,-358.45773
126,-358.5677
127,-354.89282
128,-347.74722
129,-345.8784
130,-341.10944
131,-331.16846
132,-342.7113
133,-355.01843
134,-365.14264
135,-373.48175
136,-379.83167
137,-382.23444
138,-382.89404
139,-379.7479
140,-369.1421
141,-362.6247
142,-365.6452
143,-366.91727
144,-362.431
145,-356.56796
146,-350.64734
147,-345.79987
148,-351.0766
149,-354.53683
150,-351.91418
151,-346.08255
152,-343.0882
153,-343.97815
154,-340.64877
155,-332.37247
156,-344.7215
