,0
0,96722.53
1,96722.79
2,96723.74
3,96724.3
4,96728.195
5,96728.164
6,96727.414
7,96724.14
8,96722.15
9,96719.89
10,96717.72
11,96716.83
12,96716.164
13,96716.79
14,96718.21
15,96720.336
16,96716.56
17,96716.09
18,96714.805
19,96713.06
20,96710.09
21,96708.06
22,96705.92
23,96704.336
24,96703.164
25,96702.92
26,96704.91
27,96706.66
28,96703.62
29,96704.086
30,96703.914
31,96700.78
32,96700.77
33,96699.77
34,96697.29
35,96697.99
36,96699.36
37,96701.19
38,96703.86
39,96706.516
40,96706.8
41,96708.46
42,96710.516
43,96712.06
44,96712.55
45,96713.945
46,96713.72
47,96714.99
48,96716.6
49,96718.38
50,96722.695
51,96727.164
52,96730.97
53,96735.555
54,96738.32
55,96738.58
56,96739.914
57,96740.89
58,96740.29
59,96741.945
60,96744.95
61,96749.04
62,96753.68
63,96758.35
64,96759.46
65,96762.4
66,96763.55
67,96763.25
68,96760.76
69,96758.72
70,96757.4
71,96757.42
72,96756.875
73,96758.51
74,96761.06
75,96764.83
76,96764.53
77,96767.484
78,96767.85
79,96765.81
80,96764.9
81,96763.266
82,96760.2
83,96759.055
84,96758.61
85,96758.84
86,96760.63
87,96763.305
88,96764.84
89,96765.09
90,96764.16
91,96762.69
92,96758.234
93,96754.17
94,96747.945
95,96743.42
96,96739.51
97,96737.164
98,96737.38
99,96737.95
100,96742.64
101,96740.875
102,96736.766
103,96730.66
104,96727.62
105,96723.43
106,96719.12
107,96715.984
108,96713.766
109,96710.97
110,96709.63
111,96708.99
112,96700.79
113,96698.43
114,96696.32
115,96692.28
116,96687.13
117,96681.805
118,96676.336
119,96672.516
120,96668.26
121,96665.06
122,96664.1
123,96663.445
124,96666.805
125,96666.49
126,96667.19
127,96664.31
128,96661.74
129,96658.43
130,96655.484
131,96652.445
132,96650.65
133,96649.74
134,96650.484
135,96652.914
136,96657.5
137,96657.12
138,96655.125
139,96653.04
140,96649.97
141,96646.516
142,96643.46
143,96641.15
144,96639.56
145,96638.25
146,96639.32
147,96640.52
148,96642.89
149,96642.91
150,96641.38
151,96638.71
152,96636.87
153,96635.12
154,96632.2
155,96630.47
156,96630.266
157,96631.016
158,96631.59
159,96632.24
160,96627.38
161,96626.586
162,96626.1
163,96624.59
164,96624.26
165,96621.93
166,96619.07
167,96617.88
168,96617.11
169,96617.73
170,96619.06
171,96620.5
172,96624.44
173,96624.375
174,96624.55
175,96622.11
176,96620.086
177,96618.53
178,96616.89
179,96614.26
180,96614.27
181,96614.875
182,96614.77
183,96614.85
184,96612.3
185,96611.18
186,96610.92
187,96609.12
188,96607.67
189,96605.42
190,96602.71
191,96602.016
192,96601.28
193,96600.98
194,96602.125
195,96603.68
196,96611.99
197,96612.74
198,96613.734
199,96614.44
200,96614.75
201,96615.36
202,96614.99
203,96614.72
204,96615.27
205,96616.11
206,96617.72
207,96620.22
208,96615.64
209,96617.25
210,96618.586
211,96619.555
212,96621.96
213,96623.266
214,96622.99
215,96623.51
216,96623.18
217,96624.195
218,96626.98
219,96630.64
220,96635.34
221,96637.51
222,96641.23
223,96642.79
224,96645.266
225,96646.23
226,96646.17
227,96646.42
228,96647.58
229,96649.0
230,96650.875
231,96652.63
232,96647.59
233,96648.8
234,96651.41
235,96651.78
236,96652.99
237,96652.79
238,96651.71
239,96652.1
240,96651.164
241,96651.62
242,96652.84
243,96655.67
244,96659.14
245,96661.87
246,96665.31
247,96665.33
248,96665.88
249,96666.54
250,96665.57
251,96666.26
252,96665.555
253,96665.16
254,96667.016
255,96669.84
256,96673.54
257,96677.83
258,96678.73
259,96679.695
260,96680.13
261,96679.375
262,96677.18
263,96675.71
264,96675.33
265,96674.63
266,96676.26
267,96679.734
268,96681.81
269,96684.11
270,96685.516
271,96684.29
272,96683.625
273,96681.164
274,96678.41
275,96676.195
276,96674.2
277,96673.555
278,96673.63
279,96674.62
280,96671.6
281,96672.61
282,96673.6
283,96671.98
284,96670.086
285,96667.02
286,96662.1
287,96660.79
288,96657.945
289,96656.08
290,96655.234
291,96655.6
292,96655.805
293,96657.22
294,96656.57
295,96653.32
296,96650.25
297,96645.664
298,96641.76
299,96638.64
300,96635.555
301,96632.78
302,96631.82
303,96630.3
304,96630.62
305,96628.914
306,96626.64
307,96622.72
308,96619.734
309,96614.945
310,96611.086
311,96608.805
312,96605.79
313,96605.016
314,96605.734
315,96607.29
316,96611.16
317,96611.664
318,96611.484
319,96608.586
320,96605.945
321,96601.27
322,96596.766
323,96593.89
324,96592.67
325,96592.266
326,96593.08
327,96593.445
328,96594.47
329,96594.5
330,96594.13
331,96591.71
332,96589.19
333,96586.55
