,0
0,103903.61
1,103902.72
2,103887.73
3,103953.01
4,103962.71
5,103984.766
6,103998.0
7,104050.05
8,104037.695
9,104022.695
10,103959.18
11,103944.19
12,103957.42
13,103936.25
14,103957.42
15,103957.42
16,103986.53
17,103990.055
18,103996.234
19,104015.64
20,103989.17
21,103976.83
22,104043.87
23,104093.266
24,104171.78
25,104244.12
26,104316.45
27,104379.97
28,104422.31
29,104400.266
30,104363.21
31,104238.83
32,104170.9
33,104119.734
34,104028.875
35,104026.23
36,104020.05
37,104066.805
38,104060.63
39,104036.81
40,103973.3
41,103970.65
42,103961.83
43,103969.766
44,103975.06
45,103952.125
46,103919.484
47,103931.836
48,103989.17
49,103986.53
50,104042.11
51,104074.74
52,104130.32
53,104207.07
54,104275.0
55,104304.984
56,104304.984
57,104264.41
58,104246.766
59,104249.414
60,104242.36
61,104282.055
62,104292.64
63,104327.05
64,104358.8
65,104404.67
66,104448.78
67,104480.54
68,104472.6
69,104451.43
70,104453.19
71,104473.484
72,104502.59
73,104487.59
74,104514.945
75,104537.0
76,104599.63
77,104653.445
78,104718.72
79,104720.484
80,104700.195
81,104661.38
82,104579.34
83,104567.875
84,104536.12
85,104521.12
86,104561.695
87,104591.69
88,104635.8
89,104659.62
90,104665.8
91,104626.98
92,104581.984
93,104532.586
94,104549.34
95,104504.36
96,104441.73
97,104381.734
98,104315.58
99,104328.805
100,104347.33
101,104344.69
102,104353.51
103,104344.69
104,104380.86
105,104340.27
106,104418.79
107,104412.61
108,104437.31
109,104450.55
110,104425.84
111,104388.8
112,104378.21
113,104393.2
114,104401.14
115,104457.6
116,104519.35
117,104534.35
118,104618.16
119,104627.86
120,104553.76
121,104534.35
122,104547.586
123,104555.52
124,104573.164
125,104601.39
126,104590.81
