,0
0,-17.361023
1,-18.698502
2,-19.877441
3,-21.808914
4,-22.646423
5,-23.35608
6,-23.65921
7,-23.454056
8,-23.253067
9,-23.22908
10,-23.264908
11,-23.281265
12,-22.97853
13,-22.60167
14,-22.00055
15,-22.140228
16,-22.52124
17,-23.661926
18,-22.405243
19,-21.719772
20,-21.42604
21,-22.287659
22,-21.849258
23,-21.865784
24,-21.670471
25,-21.623962
26,-19.948502
27,-20.807968
28,-22.565613
29,-22.774277
30,-22.85907
31,-22.591751
32,-22.521515
33,-22.769806
34,-22.505386
35,-22.897018
36,-22.955414
37,-23.333572
38,-23.594955
39,-23.232376
40,-23.103424
41,-22.467102
42,-19.198471
43,-18.498718
44,-17.383026
45,-18.495834
46,-19.756775
47,-18.96849
48,-20.409576
49,-21.379349
50,-20.725098
51,-20.505112
52,-22.16101
53,-21.822433
54,-21.76741
55,-19.808334
56,-21.181412
57,-19.28276
58,-18.634323
59,-16.890121
60,-19.60933
61,-22.405167
62,-22.302963
63,-20.07373
64,-19.969055
65,-21.11267
66,-21.641922
67,-21.223007
68,-19.993088
69,-22.575897
70,-22.351715
71,-23.518875
72,-25.42746
73,-25.827667
74,-25.313889
75,-23.755768
