,0
0,18.89339
1,18.744417
2,18.630114
3,18.662716
4,18.863894
5,19.04616
6,19.161116
7,19.083704
8,18.888924
9,18.834024
10,18.733978
11,18.777637
12,18.979053
13,19.214893
14,19.348274
15,19.28881
16,19.13242
17,19.09902
18,19.016512
19,19.027777
20,19.244253
21,19.50833
22,19.677755
23,19.645384
24,19.547602
25,19.51255
26,19.377329
27,19.328152
28,19.515844
29,19.726976
30,19.903389
31,19.827202
32,19.663054
33,19.597166
34,19.435928
35,19.423794
36,19.543423
37,19.731007
38,19.815542
39,19.743755
40,19.457544
41,19.31669
42,19.11041
43,19.100943
44,19.258821
45,19.41828
46,19.528475
47,19.414444
48,19.165972
49,19.006575
50,18.861086
51,18.825869
52,18.917883
53,19.081633
54,19.121174
55,18.967001
56,18.777908
57,18.66436
58,18.56492
59,18.541456
60,18.751308
61,18.927095
