,0
0,263.32645
1,267.11777
2,266.3216
3,286.50754
4,298.6512
5,317.0351
6,312.33536
7,293.00623
8,276.3111
9,278.33463
10,274.76596
11,286.33282
12,289.3709
13,308.4319
14,308.22644
15,284.49356
16,260.72458
17,263.4175
18,263.7621
19,278.0993
20,274.01337
21,316.88693
22,326.23685
23,303.82422
24,287.6292
25,279.90622
26,278.0317
27,293.74536
28,291.17416
29,323.03223
30,319.1681
31,299.93875
32,277.0481
33,270.578
34,261.79086
35,276.209
36,281.32166
37,294.741
38,297.1369
39,280.6501
40,272.8733
41,258.8357
42,248.01997
43,266.26846
44,270.56747
45,294.9014
46,302.327
