,0
0,41.875458
1,41.277397
2,41.717476
3,41.381775
4,41.906487
5,41.649773
6,43.24083
7,44.177406
8,42.639954
9,43.34803
10,43.260574
11,42.4312
12,41.43538
13,42.33246
14,42.515823
15,41.618744
16,40.792183
17,41.59053
18,42.896667
19,41.31125
20,41.624382
21,42.10396
22,41.071465
23,41.77672
24,42.177307
25,43.604744
26,42.143456
27,42.205513
28,41.979836
29,42.77536
30,42.191406
31,41.029144
32,43.026436
33,41.243546
34,42.834602
35,41.579247
36,42.033432
37,41.72876
38,42.549683
39,41.548218
40,41.252007
41,41.42691
42,42.52147
43,41.945984
44,41.69491
45,41.914948
46,41.84442
47,41.187126
48,42.067284
49,43.001045
50,41.457947
51,41.384598
52,42.166023
53,41.90931
54,42.371956
55,42.41427
56,43.32264
57,43.621666
