,0
0,1.3690597e-05
1,1.3171146e-05
2,1.2906599e-05
3,1.2291404e-05
4,1.1825951e-05
5,1.2388489e-05
6,1.2865655e-05
7,1.2742758e-05
8,1.227053e-05
9,1.165111e-05
10,1.1886602e-05
11,1.2131982e-05
12,1.1891165e-05
13,1.2687537e-05
14,1.2839431e-05
15,1.3106892e-05
16,1.3445855e-05
17,1.4782291e-05
18,1.613281e-05
19,1.6097247e-05
20,1.4877693e-05
21,1.5359405e-05
22,1.532367e-05
23,1.4806931e-05
24,1.4340156e-05
25,1.4265646e-05
26,1.4237744e-05
27,1.4031506e-05
28,1.3690766e-05
29,1.4103265e-05
30,1.3967044e-05
31,1.4618459e-05
32,1.48058525e-05
33,1.5259082e-05
34,1.5568381e-05
35,1.5413183e-05
36,1.5129547e-05
37,1.5385172e-05
38,1.5861102e-05
39,1.7076793e-05
40,1.7574223e-05
41,1.9313393e-05
42,1.9859497e-05
43,1.9517067e-05
44,1.8415018e-05
45,1.7174476e-05
