,0
0,1.4270544e-05
1,1.461252e-05
2,1.4625609e-05
3,1.459881e-05
4,1.46018565e-05
5,1.4710419e-05
6,1.4702382e-05
7,1.4780975e-05
8,1.5146353e-05
9,1.5271595e-05
10,1.5642123e-05
11,1.6481119e-05
12,1.6755173e-05
13,1.676111e-05
14,1.6177532e-05
15,1.5702559e-05
16,1.561415e-05
17,1.5794158e-05
18,1.601531e-05
19,1.5742598e-05
20,1.5502183e-05
21,1.5148245e-05
22,1.450276e-05
23,1.40644715e-05
24,1.3708186e-05
25,1.3547219e-05
26,1.35437895e-05
27,1.3906563e-05
28,1.3666445e-05
29,1.3683257e-05
30,1.3456041e-05
31,1.323907e-05
32,1.3115346e-05
33,1.3083876e-05
34,1.3062181e-05
35,1.3333784e-05
36,1.3706086e-05
37,1.390685e-05
