,0
0,-777.75085
1,-711.01685
2,-790.2468
3,-896.28156
4,-783.6725
5,-680.41736
6,-710.896
7,-699.4635
8,-688.5627
9,-774.36694
10,-797.54626
11,-758.60803
12,-722.9569
13,-733.61597
14,-685.37225
15,-600.1722
16,-641.21326
17,-600.65564
18,-736.63727
19,-682.786
20,-642.5426
21,-642.2042
22,-639.1346
23,-562.37
24,-564.8595
25,-570.9263
26,-602.8793
27,-595.2173
28,-547.4086
29,-584.63074
30,-648.41595
31,-569.2343
32,-693.13086
33,-654.2168
34,-585.5492
35,-593.30786
36,-692.865
37,-715.17413
38,-622.578
39,-596.7884
40,-655.54614
41,-613.4658
42,-650.2529
43,-723.7787
44,-770.49976
45,-770.6448
46,-758.84973
47,-651.05054
48,-694.7986
49,-672.19946
50,-749.32666
51,-708.79315
52,-734.02686
53,-795.2017
54,-834.9134
55,-806.19916
56,-744.00916
57,-639.25543
58,-640.2948
59,-685.2755
60,-666.0119
61,-660.2594
62,-635.219
63,-571.603
64,-587.1445
65,-605.2479
66,-723.1986
67,-756.5535
68,-727.96014
69,-753.26636
70,-705.89276
71,-775.14044
72,-823.5775
73,-798.0055
74,-880.6918
75,-932.80273
76,-885.5258
77,-843.2279
78,-707.1496
79,-760.5658
80,-845.3791
81,-929.854
82,-849.8264
83,-881.27185
84,-849.72974
85,-801.3168
86,-930.69995
87,-983.80194
88,-901.06726
89,-896.2332
90,-927.24365
91,-824.7861
92,-765.95575
93,-775.01953
94,-828.94336
