,0
0,-224.39862
1,-224.84947
2,-225.25565
3,-225.69977
4,-225.47243
5,-224.58298
6,-223.65254
7,-223.43326
8,-223.49367
9,-224.10709
10,-224.76161
11,-225.31589
12,-225.1915
13,-224.65088
14,-224.05522
15,-223.98914
16,-224.18138
17,-224.76471
18,-225.23721
19,-225.81972
20,-225.76917
21,-224.80614
22,-223.8117
23,-223.76935
24,-223.80669
25,-224.27553
26,-224.76112
27,-225.22804
28,-225.23119
29,-224.49226
30,-223.84058
31,-223.89897
32,-223.9871
33,-224.63133
34,-225.27234
35,-225.6357
36,-225.4181
37,-224.51387
38,-223.74692
39,-223.72119
40,-223.74286
41,-224.27881
42,-224.96092
43,-225.33147
44,-225.0727
45,-224.4154
46,-223.73322
47,-223.75502
48,-223.81825
49,-224.41643
50,-224.98631
51,-225.33907
52,-225.0699
53,-224.47496
54,-223.8178
55,-223.79016
56,-223.72859
57,-224.2772
58,-224.69128
59,-225.06746
60,-224.89345
61,-224.35167
62,-223.71729
