,0
0,48990.375
1,48945.797
2,48876.74
3,48886.35
4,48973.766
5,49028.836
6,48975.516
7,49048.94
8,49156.46
9,49226.39
10,49165.2
11,49197.543
12,49289.33
13,49308.555
14,49269.22
15,49288.453
16,49389.85
17,49408.207
18,49331.28
19,49378.484
20,49443.17
21,49500.863
22,49452.79
23,49423.94
24,49463.273
25,49487.75
26,49378.484
27,49299.812
28,49316.42
29,49304.188
30,49238.625
31,49197.543
32,49236.004
33,49266.598
34,49166.074
35,49141.6
36,49127.613
37,49098.766
38,49029.71
39,48939.676
40,48979.01
41,48979.883
42,48805.062
43,48765.727
44,48807.684
45,48758.734
46,48717.65
47,48631.11
48,48680.938
49,48722.02
50,48576.914
51,48497.367
52,48521.844
53,48490.375
54,48388.1
55,48319.92
56,48316.426
57,48302.438
58,48187.93
59,48181.812
60,48263.1
61,48269.223
