,0
0,8.828468
1,8.774225
2,8.724356
3,8.749632
4,8.7519865
5,8.803866
6,8.895365
7,8.946861
8,8.924974
9,8.8703575
10,8.807653
11,8.784734
12,8.735018
13,8.711354
14,8.767311
15,8.867734
16,8.837912
17,8.776442
18,8.696782
19,8.688443
20,8.594912
21,8.543949
22,8.5905485
23,8.712022
24,8.739315
25,8.705627
26,8.615562
27,8.62969
28,8.5645
29,8.562579
30,8.654399
31,8.766158
32,8.721655
33,8.647588
34,8.578187
35,8.578327
36,8.558745
37,8.590901
38,8.668543
39,8.765484
40,8.773062
41,8.742883
42,8.69685
43,8.718028
44,8.688506
45,8.69879
46,8.791774
47,8.911316
48,8.932243
49,8.913718
50,8.858902
51,8.846172
52,8.819347
53,8.819685
54,8.885915
55,9.0139265
56,9.024527
57,8.971203
58,8.895448
59,8.918601
60,8.921745
61,8.965425
62,9.023059
