,0
0,24.302628
1,24.09674
2,24.406357
3,24.51239
4,25.066391
5,24.672058
6,23.981125
7,23.440216
8,23.568008
9,23.94812
10,23.985794
11,23.658875
12,23.872818
13,23.75586
14,23.146118
15,23.321884
16,23.33104
17,22.492432
18,21.968964
19,21.634064
20,22.207642
21,24.434387
22,24.780167
23,25.184265
24,24.316391
25,23.956238
26,23.65477
27,23.413773
28,27.612396
29,25.664505
30,24.304657
31,25.54721
32,25.872757
33,25.479248
34,23.043533
35,23.202301
36,23.358902
37,22.66864
38,21.733978
39,21.472504
40,22.44748
41,21.311935
42,21.354095
43,21.628296
44,22.20639
45,22.313568
46,21.94806
47,21.515106
48,21.33496
49,21.482742
50,21.837845
51,21.660385
52,24.433075
53,23.002228
54,23.37297
55,24.121704
56,24.488129
57,24.706787
58,25.33461
59,24.849716
60,24.80046
61,27.06842
62,27.766037
63,26.974731
64,29.92723
65,28.50476
66,27.020554
67,26.323608
68,25.309128
69,25.332336
70,25.820251
71,26.532608
72,25.519638
