,0
0,4.7980227
1,4.817202
2,4.835118
3,4.852523
4,4.86667
5,4.873259
6,4.8705974
7,4.8321943
8,4.821711
9,4.8185053
10,4.817963
11,4.8193407
12,4.8222384
13,4.8240976
14,4.8318553
15,4.8366795
16,4.8371387
17,4.830139
18,4.819602
19,4.788517
20,4.771163
21,4.7642765
22,4.760866
23,4.7592735
24,4.7646613
25,4.7686844
26,4.7708697
27,4.769924
28,4.7650857
29,4.759617
30,4.748991
31,4.728732
32,4.7104635
33,4.698138
34,4.687807
35,4.679767
36,4.6733522
37,4.670177
38,4.6698794
39,4.6700454
40,4.666942
41,4.659764
42,4.650065
43,4.579193
44,4.577224
45,4.578129
46,4.5783787
47,4.576147
48,4.576263
49,4.575029
50,4.5741086
51,4.577017
52,4.5837483
53,4.587298
54,4.588584
55,4.569622
56,4.570013
57,4.5703382
58,4.5651436
59,4.561296
60,4.5619993
61,4.5653243
62,4.577502
63,4.5908875
64,4.6035404
65,4.61358
66,4.621051
67,4.6305146
68,4.6335554
69,4.636825
70,4.638889
71,4.635661
72,4.6320343
73,4.6258125
74,4.6200085
75,4.622611
76,4.627762
77,4.635696
78,4.6471386
79,4.6678877
80,4.6761045
81,4.679421
82,4.680609
83,4.67864
84,4.6741314
85,4.6728654
86,4.670353
87,4.6701527
88,4.67108
89,4.672576
90,4.6734858
91,4.652984
92,4.6425853
93,4.647728
94,4.654178
95,4.6651115
96,4.67849
97,4.692027
98,4.7097545
99,4.7361355
100,4.7607775
101,4.788192
102,4.806455
103,4.806686
104,4.8142343
105,4.821204
106,4.8280234
107,4.831793
108,4.8341627
109,4.832895
110,4.830668
111,4.827123
112,4.8228884
113,4.8174105
114,4.814782
115,4.7868147
116,4.7835417
117,4.783025
118,4.782674
119,4.779825
120,4.7719173
