,0
0,301.14578
1,300.76508
2,301.3775
3,300.30878
4,301.6763
5,300.44464
6,300.2624
7,300.22803
8,300.01227
9,299.92688
10,300.14127
11,300.174
12,300.28516
13,300.33368
14,299.94818
15,300.55682
16,300.28088
17,300.45947
18,300.5769
19,300.4911
20,300.35196
21,300.72955
22,300.56354
23,300.69073
24,300.33008
25,300.5542
26,300.68372
27,300.04218
28,300.8944
29,300.60986
30,300.748
31,300.8047
32,300.66156
33,300.0307
34,300.1695
35,299.9501
36,300.1532
37,299.92545
38,299.9513
39,300.39294
40,300.8011
41,300.77332
42,300.19177
43,300.11798
44,300.45038
45,300.31482
46,300.21338
47,300.2038
48,300.31418
49,300.15448
50,300.92627
51,300.32996
52,300.33844
53,300.08154
54,299.86224
55,299.85858
56,299.8434
57,299.8178
58,301.23737
59,301.14148
60,300.57385
61,300.07047
62,300.14886
63,300.25128
64,299.67773
65,299.57184
66,299.81107
67,299.87292
68,299.3089
69,300.49377
70,300.29987
71,300.80774
72,300.2353
73,300.28955
74,300.14
75,299.9897
76,299.88263
77,300.18784
78,299.74213
79,299.65128
80,299.94183
81,300.1525
82,300.11182
83,300.0851
84,300.09753
85,300.3447
86,299.55298
87,299.8285
88,299.55075
89,299.7572
90,299.81052
91,300.61957
92,299.83044
93,299.99475
94,300.20297
95,300.3081
96,301.00427
97,299.89474
98,300.46503
99,299.8427
100,299.98187
101,299.68643
102,300.94897
103,300.96304
104,301.22833
105,300.66577
106,300.25934
107,300.6253
108,300.44135
109,300.5031
110,300.31
111,299.64612
112,300.004
113,300.32153
114,300.15353
115,300.19717
116,299.70993
117,300.39856
118,299.946
119,299.91815
120,301.03674
