,0
0,216.00642
1,215.83513
2,216.07323
3,216.25153
4,216.45244
5,216.59114
6,216.84636
7,216.51013
8,216.18608
9,216.13435
10,215.7177
11,215.24176
12,214.89532
13,214.1171
14,213.88576
15,214.0753
16,214.22173
17,214.09164
18,213.63101
19,210.70041
20,210.88414
21,210.81909
22,210.92537
23,211.11696
24,211.36024
25,213.95523
26,214.79474
27,215.36539
28,216.00598
29,216.45924
30,216.73639
31,217.98041
32,218.21654
33,217.1415
34,217.34662
35,217.43575
36,217.31197
37,217.40208
38,216.66542
39,216.2986
40,216.23042
41,216.32097
42,216.6509
43,216.9721
44,217.27812
45,217.70251
46,218.14467
47,218.34122
48,218.41457
49,218.93121
50,219.3847
51,219.87831
52,220.74417
53,221.18565
54,221.78984
55,220.83398
56,220.49864
57,220.15776
58,219.95647
59,219.89853
60,220.37312
61,219.34854
62,218.61227
63,217.53056
64,216.61783
65,215.83571
66,216.42421
67,217.21358
68,217.17764
69,217.06798
70,216.96344
71,216.90714
72,216.42586
73,216.86612
74,217.46054
75,218.26881
76,218.73668
77,218.83186
78,219.22389
79,218.43362
80,217.33089
81,216.51514
82,215.7074
83,216.09938
84,215.75244
85,216.26701
86,216.03552
87,215.84543
88,215.52516
89,214.79485
90,214.57465
91,214.00456
92,213.49303
93,213.16154
94,212.17337
95,211.73885
96,211.25462
97,211.3971
98,212.26358
99,213.32954
100,214.14294
101,214.90416
102,216.47527
103,217.25925
104,217.51764
105,217.5581
106,217.31535
107,215.12457
108,214.0768
109,214.04681
110,213.53903
111,212.5136
112,212.33356
113,211.99527
114,211.8483
115,210.83824
116,210.69362
117,210.4765
118,210.42778
119,210.24747
120,210.45204
121,210.6649
122,211.14569
123,212.62656
124,213.67964
125,215.10655
126,215.72029
127,216.48688
128,216.65826
129,215.64043
130,215.25558
131,214.76987
132,215.0588
133,214.49313
134,213.4325
135,212.84273
136,212.0212
137,213.02058
138,212.61472
139,212.6526
140,210.75526
141,210.70993
142,210.54247
143,210.30995
144,210.40698
145,210.68077
146,215.10909
147,215.72499
148,216.56224
149,217.17355
150,217.76736
151,217.06664
152,216.73067
153,215.301
154,214.72864
155,214.19714
156,213.96947
157,212.7038
158,210.86899
159,211.00548
160,210.85046
161,210.81999
162,210.80722
163,211.97539
164,212.10555
165,212.02269
166,211.95074
167,211.98172
168,212.42825
169,213.21027
170,214.12402
171,215.03232
172,215.9137
173,216.3997
174,217.2838
175,216.03532
176,215.31271
177,214.47975
178,213.62141
179,212.51498
180,210.2855
181,210.13464
182,210.25961
183,210.48782
184,210.46494
185,211.57834
186,211.98128
187,211.95038
188,212.23431
189,212.82028
190,213.42377
191,216.17134
192,216.74844
193,217.07083
194,217.2256
195,217.42273
196,217.39166
197,217.39365
198,218.51811
199,217.51352
200,217.42792
201,217.42267
202,217.25917
203,217.14418
204,216.10565
205,215.8183
206,215.048
207,214.62207
208,213.80687
209,213.59297
210,213.78595
211,211.47878
212,211.74658
213,212.49701
214,215.23413
215,215.53723
216,215.95181
217,216.55206
218,217.02946
219,216.62552
220,217.04332
221,217.34648
222,217.54153
223,217.41766
224,217.1886
225,217.44083
226,216.41676
227,215.61375
228,213.72809
229,212.61703
230,211.4296
231,210.03534
232,209.8997
233,210.79045
234,210.61205
235,209.71587
236,210.2093
237,210.94786
238,211.72678
239,212.60489
240,213.36617
241,214.52078
242,215.38295
243,216.0066
244,216.92949
245,217.05428
246,217.25832
247,216.0663
248,215.8393
249,214.82457
250,214.44676
251,213.75587
252,213.83298
253,211.89406
254,211.77682
255,211.05241
256,210.4055
257,209.98065
258,210.00127
259,210.04843
260,209.92996
261,210.54086
262,210.71022
263,211.21617
264,211.76903
265,212.4211
266,216.18944
267,216.25496
268,216.23448
269,216.16284
270,217.58519
271,215.81192
272,215.568
273,215.00441
274,214.63228
275,213.8239
276,213.66846
277,212.55663
278,212.12129
279,211.98076
280,212.02553
281,211.34763
282,211.89966
283,211.43053
284,212.89796
285,213.27171
286,214.18388
287,215.24031
288,215.46133
289,216.12196
290,216.60896
291,216.87144
292,216.8438
293,216.66576
294,217.66823
295,215.6157
296,214.96254
297,214.04225
298,213.46083
299,212.47623
300,212.10461
301,211.73961
302,211.4093
303,209.67113
304,209.32372
305,209.01927
306,210.29553
307,211.541
308,211.63045
309,212.33891
310,212.98418
311,214.88655
312,215.3428
313,215.81479
314,216.44827
315,216.95914
316,216.91531
317,217.07397
318,217.31311
319,215.8591
320,214.67159
321,213.98851
322,213.37787
323,212.61012
324,211.45277
325,211.06944
326,210.8028
327,210.29384
328,209.91312
329,209.53955
330,209.46272
