,0
0,4430.5
1,4434.625
2,5299.75
3,5069.875
4,5146.0
5,4770.375
6,4301.375
7,5056.125
8,6295.5
9,6803.5
10,6379.875
11,5695.625
12,6169.875
13,6023.375
14,5944.5
15,5815.5
16,5437.375
17,6100.125
18,5222.625
19,4981.375
20,5129.125
21,5185.0
22,5251.5
23,5123.0
24,6918.125
25,6031.125
26,5418.5
27,4961.5
28,5357.5
29,6403.625
30,6368.625
31,4995.75
32,5079.0
33,5556.125
34,5716.75
35,6203.375
36,6860.25
37,6615.375
38,6861.375
39,6940.625
40,6653.75
41,6334.875
42,6150.5
43,5960.75
44,5675.125
45,5480.25
46,5499.375
47,5975.0
48,5629.5
49,4952.375
50,4811.75
51,4735.625
52,5211.375
53,5620.25
54,5758.125
55,5218.625
56,5630.625
57,5967.0
58,6608.5
59,7245.875
60,7145.375
61,7414.75
62,6932.625
63,6477.5
64,6989.75
65,6403.375
66,6644.875
67,5309.5
68,5263.875
69,5006.625
70,4527.875
71,4782.375
72,6925.375
73,7037.625
74,6130.375
75,5259.875
76,4875.0
77,5122.25
78,5072.625
79,5497.125
80,7121.5
81,6229.0
82,6673.25
83,7093.375
84,6865.875
85,7671.375
86,6902.375
87,5938.0
88,7177.0
89,6518.625
90,5553.125
91,4607.625
92,4970.125
93,5345.125
94,5011.5
95,4747.0
96,4980.875
97,8657.5
98,7166.125
99,6136.75
100,5092.375
101,4835.125
102,5423.25
103,5217.75
104,4844.375
105,5679.75
106,5737.375
107,4788.5
108,5505.375
109,6072.375
110,5793.375
111,8315.5
112,7428.25
113,8473.0
114,6685.375
115,6284.5
116,6072.625
117,6199.625
118,6486.0
119,6519.625
120,8293.0
121,7093.875
122,6285.75
123,4739.875
124,4292.5
125,4096.875
126,4644.875
127,4820.5
128,5982.125
129,6214.5
130,5459.875
131,5186.25
132,4847.0
133,5699.125
134,5778.625
135,6745.125
136,8223.5
137,6652.375
138,8527.5
139,6056.375
140,5934.625
141,5586.5
142,5279.875
143,5245.125
144,6473.0
145,7254.25
146,6371.75
147,5791.0
148,5385.875
149,5665.75
150,4122.0
151,4067.125
152,6029.375
153,6711.375
154,6272.375
155,5638.25
156,5123.375
157,5986.25
158,6841.0
159,7386.75
160,6805.875
161,7539.375
162,8055.625
163,6737.125
164,6365.5
165,6157.75
166,5936.625
167,5754.875
168,6590.375
169,8451.0
170,6150.375
171,4795.5
172,4860.625
173,4833.0
174,4822.75
175,4442.125
176,4746.375
177,5828.875
178,5985.375
179,4494.625
180,5307.25
181,6102.25
182,5956.25
183,5831.75
184,5475.375
185,4925.75
186,5303.125
187,5072.875
188,4877.0
189,4694.75
190,4650.125
191,4869.375
192,4889.625
193,5884.0
194,5842.5
195,4723.0
196,4309.125
197,4293.5
198,4753.0
