,0
0,1.14382565e-05
1,1.1644416e-05
2,1.2241035e-05
3,1.2625791e-05
4,1.1556559e-05
5,1.169688e-05
6,1.18812195e-05
7,1.2019797e-05
8,1.227155e-05
9,1.2682911e-05
10,1.3362611e-05
11,1.3771913e-05
12,1.3939745e-05
13,1.4298442e-05
14,1.4206385e-05
15,1.4483341e-05
16,1.2741045e-05
17,1.2874907e-05
18,1.2003731e-05
19,1.0894272e-05
20,1.062159e-05
21,1.043544e-05
22,1.0609053e-05
23,1.0613945e-05
24,1.09596895e-05
25,1.1279195e-05
26,1.1641159e-05
27,1.168507e-05
28,1.0145448e-05
29,1.0486429e-05
30,1.079972e-05
31,1.10384135e-05
32,1.1229914e-05
33,1.1879768e-05
34,1.2160038e-05
35,1.2132854e-05
36,1.2796472e-05
37,1.2618791e-05
38,1.2619996e-05
39,1.3058861e-05
40,1.1541043e-05
41,1.1554925e-05
42,1.0696012e-05
43,1.032535e-05
44,9.952584e-06
45,9.704172e-06
46,9.815563e-06
47,1.0025172e-05
48,1.02618e-05
49,1.0407723e-05
50,1.0572656e-05
51,1.0426213e-05
52,9.909209e-06
53,1.0237421e-05
54,1.0497697e-05
55,1.0841058e-05
56,1.1402534e-05
57,1.1929205e-05
58,1.2059071e-05
59,1.2142536e-05
60,1.2379158e-05
61,1.2700809e-05
62,1.3700747e-05
63,1.3947898e-05
64,1.2182892e-05
65,1.2218878e-05
66,1.1789481e-05
67,1.1113296e-05
68,1.0761896e-05
69,1.06902935e-05
70,1.0776449e-05
71,1.0894711e-05
72,1.1059457e-05
73,1.16068195e-05
74,1.1339785e-05
75,1.1030598e-05
76,1.0295992e-05
77,1.0498139e-05
78,1.075916e-05
79,1.0924758e-05
80,1.14050745e-05
81,1.1588683e-05
82,1.2201204e-05
83,1.2448698e-05
84,1.2786215e-05
85,1.2969215e-05
86,1.3599603e-05
87,1.3831681e-05
88,1.2396897e-05
89,1.1913318e-05
90,1.1272455e-05
91,1.0727635e-05
92,1.0596745e-05
93,1.04670125e-05
94,1.0360856e-05
95,1.0524905e-05
96,1.0798225e-05
97,1.10465335e-05
98,1.1157832e-05
99,1.1368896e-05
100,1.1122294e-05
101,1.1451308e-05
102,1.14977e-05
103,1.1637004e-05
104,1.2176806e-05
105,1.2593682e-05
106,1.3370193e-05
107,1.3882946e-05
108,1.4348382e-05
109,1.4959007e-05
110,1.5279587e-05
111,1.4987021e-05
112,1.3703354e-05
113,1.32643745e-05
114,1.2320161e-05
115,1.1252819e-05
116,1.0740603e-05
117,1.051583e-05
118,1.0237025e-05
119,1.0478432e-05
120,1.0693932e-05
121,1.0829988e-05
122,1.1313944e-05
123,1.15225175e-05
124,1.09268885e-05
125,1.1288061e-05
126,1.1537585e-05
