,0
0,58042.703
1,58018.156
2,57960.227
3,57996.555
4,58014.227
5,58070.195
6,58109.473
7,58151.695
8,58203.734
9,58196.86
10,58171.332
11,58085.906
12,58037.793
13,57992.625
14,58016.19
15,58021.1
16,58063.32
17,58076.086
18,58084.926
19,58106.527
20,58089.836
21,58103.58
22,58059.4
23,58008.336
24,57969.062
25,57938.62
26,57910.15
27,57914.074
28,58015.21
29,58012.266
30,58071.18
31,58133.04
32,58186.062
33,58164.46
34,58116.344
35,58129.11
36,58148.75
37,58137.945
38,58155.62
39,58113.4
40,58133.04
41,58121.258
42,58148.75
43,58170.35
44,58195.88
45,58256.758
46,58275.414
47,58261.664
48,58215.516
49,58161.516
50,58120.273
51,58081.0
52,58080.016
53,58092.78
54,58094.742
55,58138.93
56,58156.6
57,58183.117
58,58212.57
59,58230.246
60,58230.246
61,58203.734
62,58192.934
63,58176.242
64,58125.184
65,58124.203
66,58110.453
67,58134.02
68,58157.586
69,58188.023
70,58191.953
71,58181.15
72,58134.02
73,58056.45
74,58020.117
75,57953.35
76,58011.28
77,58086.89
78,58105.547
79,58168.387
80,58126.164
81,58113.4
82,58096.707
83,58066.27
84,58080.016
85,58081.0
86,58103.58
87,58113.4
88,58196.86
89,58189.008
90,58187.043
91,58177.223
92,58151.695
93,58121.258
94,58076.086
95,58054.484
96,58050.56
97,57997.535
98,58007.355
99,58021.1
100,58113.4
101,58168.387
102,58176.242
103,58234.17
104,58175.258
105,58155.62
106,58098.67
107,58054.484
108,58045.65
109,58047.613
110,58107.508
111,58109.473
112,58184.098
113,58192.934
114,58181.15
115,58190.97
116,58176.242
117,58142.86
118,58121.258
119,58100.633
120,58063.32
121,58027.977
122,57996.555
123,58017.17
124,58073.14
125,58119.29
126,58173.297
127,58235.156
128,58241.047
129,58239.086
