,0
0,0.73094547
1,0.7685542
2,0.800076
3,0.82216483
4,0.8451506
5,0.86683667
6,0.8841063
7,0.76714957
8,0.7839358
9,0.79834974
10,0.80806386
11,0.8089023
12,0.8096742
13,0.8190983
14,0.83329076
15,0.84850997
16,0.86321926
17,0.88178396
18,0.9012113
19,0.8668426
20,0.8999152
21,0.941315
22,0.9830325
23,1.0246658
24,1.0636247
25,1.1051402
26,1.1457044
27,1.1812483
28,1.2159609
29,1.2324485
30,1.2364433
31,1.1333569
32,1.126842
33,1.114507
34,1.0954425
35,1.0691411
36,1.0453478
37,1.027905
38,1.0088266
39,0.99047756
40,0.97873837
41,0.96933466
42,0.95375764
43,0.8757602
44,0.8809121
45,0.88598186
46,0.89356154
47,0.904801
48,0.9116544
49,0.90916353
50,0.8983201
51,0.8723118
52,0.83838624
53,0.80281866
54,0.76692396
55,0.6654022
56,0.6224001
57,0.57728344
58,0.5235424
59,0.46079433
60,0.3948564
61,0.33788073
62,0.28593853
63,0.2458981
64,0.22274067
65,0.20136626
66,0.17409796
67,0.04977957
68,0.043181717
69,0.030833181
70,0.009923788
71,-0.01165865
72,-0.036892377
73,-0.06857866
74,-0.10904182
75,-0.16137555
76,-0.219976
77,-0.2829392
78,-0.34263417
79,-0.54962283
80,-0.6363
81,-0.7099853
82,-0.76913875
83,-0.8273115
84,-0.8821694
85,-0.9376283
86,-0.9822098
87,-1.0031964
88,-0.99946594
89,-0.9848022
90,-0.96655613
91,-0.95473397
92,-0.94509137
93,-0.9371445
94,-0.9251928
95,-0.9089463
96,-0.88773185
97,-0.86676526
98,-0.8419387
99,-0.81188405
100,-0.7862184
101,-0.771217
102,-0.7741428
103,-0.84766823
104,-0.87053454
105,-0.9012079
106,-0.93016803
107,-0.9529638
108,-0.9659645
109,-0.9819508
110,-0.9890018
111,-0.982098
112,-0.9508528
113,-0.9272164
114,-0.9130225
115,-0.8646004
116,-0.8479032
117,-0.83749473
118,-0.8151208
119,-0.7739376
120,-0.72579694
121,-0.686725
122,-0.6596039
123,-0.6359566
124,-0.6052896
125,-0.576829
126,-0.5548271
127,-0.5682554
128,-0.5515256
129,-0.5456096
130,-0.5503193
131,-0.55620015
132,-0.5613803
133,-0.55743545
134,-0.54979295
135,-0.5388718
136,-0.5354368
137,-0.53239477
138,-0.5290984
139,-0.5555747
140,-0.55362517
141,-0.55918044
142,-0.5611349
143,-0.55963945
144,-0.5557419
145,-0.54488015
146,-0.5243847
147,-0.50355077
148,-0.48447374
149,-0.47025827
150,-0.45924407
151,-0.4526523
152,-0.4532791
153,-0.45552647
154,-0.45516914
155,-0.4516788
156,-0.4404764
