,0
0,1.3634459e-05
1,1.3705061e-05
2,1.3712895e-05
3,1.3720088e-05
4,1.3229195e-05
5,1.3549757e-05
6,1.382076e-05
7,1.406654e-05
8,1.4250258e-05
9,1.439483e-05
10,1.4511612e-05
11,1.467177e-05
12,1.4810881e-05
13,1.4899079e-05
14,1.485306e-05
15,1.4731766e-05
16,1.4546552e-05
17,1.4700325e-05
18,1.4664637e-05
19,1.4652338e-05
20,1.4598988e-05
21,1.4640058e-05
22,1.4575061e-05
23,1.4532658e-05
24,1.4608056e-05
25,1.469236e-05
26,1.4779148e-05
27,1.4841611e-05
28,1.4712213e-05
29,1.4807253e-05
30,1.4879228e-05
31,1.5056792e-05
32,1.5201708e-05
33,1.5161826e-05
34,1.5159661e-05
35,1.5200321e-05
36,1.5322992e-05
37,1.547639e-05
38,1.5614814e-05
39,1.5734333e-05
40,1.5667762e-05
41,1.6048654e-05
42,1.630223e-05
43,1.6464017e-05
44,1.6613334e-05
45,1.6758535e-05
46,1.6882605e-05
47,1.6931925e-05
48,1.6901078e-05
49,1.6809689e-05
50,1.6756923e-05
51,1.672494e-05
52,1.626792e-05
53,1.6364023e-05
54,1.6424603e-05
55,1.6484313e-05
56,1.653333e-05
57,1.646389e-05
58,1.6299933e-05
59,1.6214048e-05
60,1.6166305e-05
61,1.6132859e-05
62,1.6125507e-05
63,1.6072534e-05
64,1.5686215e-05
65,1.590911e-05
66,1.6019994e-05
67,1.6112495e-05
68,1.627299e-05
69,1.6385204e-05
70,1.6475651e-05
71,1.6545206e-05
72,1.6611802e-05
73,1.6674887e-05
74,1.665508e-05
75,1.6500451e-05
76,1.5834123e-05
77,1.5951882e-05
78,1.5937256e-05
79,1.5878268e-05
80,1.5790501e-05
81,1.5744417e-05
82,1.5793838e-05
83,1.595647e-05
84,1.620083e-05
85,1.6395556e-05
86,1.6549227e-05
87,1.6697273e-05
88,1.6212896e-05
89,1.6464055e-05
90,1.6558017e-05
91,1.6509985e-05
92,1.6428294e-05
93,1.631733e-05
94,1.6171398e-05
95,1.6016178e-05
96,1.5914711e-05
97,1.5838768e-05
98,1.5707132e-05
99,1.5520687e-05
100,1.4775813e-05
101,1.4831864e-05
102,1.501994e-05
103,1.5227627e-05
104,1.5189952e-05
105,1.5161338e-05
106,1.51056365e-05
107,1.50848155e-05
108,1.5196858e-05
109,1.5287449e-05
110,1.529193e-05
111,1.5250253e-05
112,1.5350679e-05
113,1.5497399e-05
114,1.5461537e-05
115,1.534369e-05
116,1.5143504e-05
117,1.4999705e-05
118,1.4816035e-05
119,1.45635495e-05
120,1.4301618e-05
121,1.4024285e-05
122,1.3837649e-05
123,1.3703195e-05
124,1.3014207e-05
125,1.304517e-05
126,1.3140805e-05
127,1.3305973e-05
128,1.3471835e-05
129,1.3577808e-05
130,1.3709867e-05
131,1.3818329e-05
132,1.393916e-05
133,1.4061466e-05
134,1.4138001e-05
135,1.4227043e-05
136,1.3945984e-05
137,1.4116633e-05
138,1.4131346e-05
139,1.4139408e-05
140,1.41275395e-05
141,1.4169994e-05
142,1.4158538e-05
143,1.414762e-05
144,1.4110659e-05
145,1.4055086e-05
146,1.3981005e-05
147,1.3885226e-05
148,1.3587835e-05
149,1.3750379e-05
150,1.382596e-05
151,1.3857487e-05
152,1.3880453e-05
153,1.3888802e-05
154,1.3949323e-05
155,1.4007733e-05
156,1.4123469e-05
157,1.4242952e-05
158,1.43028665e-05
159,1.4333345e-05
160,1.4324746e-05
161,1.4400056e-05
162,1.4312072e-05
163,1.4313323e-05
164,1.4296908e-05
165,1.4314207e-05
166,1.4280631e-05
167,1.431216e-05
168,1.4449593e-05
169,1.4525651e-05
170,1.4591681e-05
171,1.4579077e-05
172,1.4274968e-05
173,1.4442254e-05
174,1.4551426e-05
175,1.4601774e-05
176,1.4536678e-05
177,1.4518891e-05
178,1.4537866e-05
179,1.4572794e-05
180,1.459021e-05
181,1.463664e-05
182,1.4606104e-05
183,1.4607679e-05
