,0
0,1479.9023
1,1475.7279
2,1473.573
3,1472.3859
4,1465.9374
5,1466.2235
6,1464.4822
7,1462.2264
8,1461.2528
9,1462.273
10,1463.2972
11,1465.7772
12,1466.4419
13,1465.8383
14,1464.3983
15,1461.825
16,1461.4725
17,1459.5701
18,1456.303
19,1456.3273
20,1456.2554
21,1459.0415
22,1461.2897
23,1460.5968
24,1457.6993
25,1455.1296
26,1452.7391
27,1452.1959
28,1441.949
29,1440.1366
30,1438.3088
31,1436.186
32,1434.6006
33,1437.9155
34,1439.6937
35,1442.8864
36,1444.211
37,1442.9778
38,1441.989
39,1439.7502
40,1439.3461
41,1438.9789
42,1440.4358
43,1441.7836
44,1446.3094
45,1449.1654
46,1453.6693
47,1457.346
48,1457.5308
49,1457.7836
50,1457.9651
51,1458.951
52,1469.5111
53,1468.318
54,1469.3994
55,1470.5228
56,1472.5886
57,1475.8053
58,1479.7086
59,1481.9105
60,1480.9944
61,1478.8881
62,1477.1301
63,1474.874
64,1475.826
65,1474.0493
66,1471.694
67,1470.6144
68,1469.7079
69,1469.5503
70,1469.2812
71,1469.8899
72,1466.6866
73,1465.7946
74,1462.3339
75,1457.3688
