,0
0,103593.94
1,103795.36
2,104111.44
3,104126.914
4,103766.03
5,103677.44
6,103560.336
7,103396.19
8,103275.83
9,103251.19
10,103281.125
11,103327.35
12,103363.6
13,103400.266
14,103430.0
15,103417.164
16,103425.31
17,103398.02
18,103405.97
19,103397.62
20,103706.766
21,104099.625
22,104348.9
23,104596.55
24,104538.1
25,104470.89
26,104374.36
27,104315.5
28,104221.21
29,104169.27
30,103960.73
31,103750.555
32,103454.234
33,103291.71
34,103295.375
35,103259.53
36,103293.75
37,103293.34
38,103264.83
39,103289.88
40,103346.7
41,103370.53
42,103402.3
43,103430.41
44,103479.28
45,103562.17
46,104115.305
47,104162.76
48,104246.87
49,104396.15
50,104515.9
51,104494.72
52,104478.836
53,104238.72
54,104085.98
55,103645.875
56,103666.04
57,103713.28
58,103750.555
59,103777.44
60,103763.79
61,103758.09
62,103740.17
63,103726.93
64,103736.91
65,103989.04
66,104096.164
67,104084.555
68,104273.14
69,104444.21
70,104664.164
71,104623.836
72,104835.44
73,104734.016
74,104854.18
75,104689.83
76,104745.83
77,104469.67
78,104227.73
79,103915.92
80,103928.34
81,103953.4
82,103998.2
83,104021.625
84,104024.48
85,103968.47
86,103914.09
87,103883.55
88,103836.5
89,103856.66
90,103857.88
91,103906.76
92,103916.33
93,103883.55
94,104023.45
95,104323.24
96,104437.49
97,104380.06
98,104520.79
99,104338.11
100,103949.33
101,103788.84
102,103765.22
103,103766.03
104,103742.41
105,103722.04
106,103647.5
107,103636.914
108,103580.91
109,103747.5
110,103864.4
111,103686.61
112,103591.7
113,103530.4
114,103526.94
115,104006.35
116,104037.1
117,104210.01
118,104368.45
119,104568.445
120,104800.414
121,104920.98
122,104928.305
123,104749.91
124,104824.85
125,104552.766
126,104308.78
127,104117.34
128,103907.58
129,103707.79
130,103677.44
131,103704.94
132,103722.45
133,103719.39
134,103828.555
135,103970.09
136,104370.08
137,104614.06
138,104820.37
139,104851.125
140,105053.555
141,105252.53
142,104966.39
143,105004.68
144,105092.05
145,105218.11
146,105209.16
147,105113.02
148,104880.86
149,104641.15
150,104450.94
151,104116.53
152,103832.22
153,103623.875
154,103561.97
155,103564.414
156,103555.45
157,103535.29
158,103516.555
159,103493.13
160,103467.875
161,103444.25
162,103439.98
163,103399.24
164,103425.72
165,103391.1
166,103418.39
167,103424.91
168,103402.7
169,103451.79
170,103589.055
171,103675.61
172,103526.33
173,103364.42
174,103379.29
175,103450.77
176,103475.82
177,103535.29
178,103462.79
179,103627.75
180,103645.47
181,103660.54
182,103703.1
183,103681.72
184,103713.695
185,103727.336
186,103747.3
187,103776.42
188,103794.55
189,103856.05
190,103879.266
191,103909.61
192,103903.09
193,103912.87
194,103955.84
195,103919.59
196,103946.48
197,103983.336
198,103972.336
199,103992.09
200,104010.016
201,104015.31
202,104004.31
203,104065.2
204,104037.914
205,103989.445
206,103964.6
207,103997.59
208,104040.56
209,104230.78
210,104551.54
211,104632.59
212,104864.36
213,104811.41
214,104562.945
215,104469.67
216,104623.23
217,104962.73
218,105221.375
219,105284.1
220,105225.445
221,105033.195
222,104935.44
223,104815.08
224,104603.06
225,104404.91
226,104044.43
227,104069.08
228,104100.234
229,104174.164
230,104194.33
231,104233.23
232,104248.3
233,104296.16
234,104537.28
235,104637.08
236,104646.04
237,104977.39
238,105171.07
239,105289.39
240,105434.805
241,105500.79
242,105559.65
243,105646.81
244,105534.59
245,105314.445
246,104999.99
247,104723.02
248,104471.09
249,104335.664
250,104231.8
251,104036.29
252,103959.51
253,103947.9
254,103971.52
255,103955.64
256,103976.62
257,104059.914
258,104126.305
259,104228.54
260,104356.03
261,104671.91
262,104822.61
263,104934.01
264,105132.17
265,105216.484
266,105305.69
267,105310.78
268,105259.66
269,105137.875
270,104884.73
271,104725.055
272,104482.7
273,104205.32
274,104256.84
275,104284.55
276,104363.97
277,104422.22
278,104498.8
279,104518.34
280,104530.56
281,104566.0
282,104570.69
283,104594.516
284,104644.2
285,104710.39
286,104720.17
287,104797.97
288,104826.88
289,104992.46
290,105011.4
291,105039.09
292,105089.6
293,105093.27
294,104968.23
295,104815.484
296,104577.2
297,104352.98
298,104438.71
299,104294.52
300,104209.4
301,104256.84
302,104282.71
303,104354.805
304,104430.57
305,104491.055
306,104522.21
307,104477.2
308,104411.016
309,104540.13
310,104616.305
311,104619.97
312,104746.65
313,104867.82
314,104961.3
315,105098.16
316,105135.63
317,105030.95
318,104603.06
319,104311.23
320,103978.24
321,103750.35
322,103692.72
323,103573.375
324,103527.34
325,103556.266
326,103573.375
327,103529.38
328,103583.96
329,103647.09
330,103758.91
331,103789.25
332,103848.31
333,103959.71
334,104200.234
335,104329.15
336,104411.625
337,104545.63
338,104632.59
339,104710.59
340,104694.914
341,104504.49
342,104168.664
343,103852.586
344,103635.28
345,103452.195
346,103459.32
347,103457.086
348,103449.55
349,103555.45
350,103655.65
351,103800.86
352,103918.57
353,103933.234
354,103949.53
355,103833.445
356,103695.98
357,103596.18
358,103673.77
359,103626.94
360,103611.45
361,103974.58
362,104176.41
363,104082.516
364,103759.516
365,103690.48
366,103721.23
367,103675.41
368,103701.266
369,103691.9
370,103780.9
371,103832.42
372,103845.055
373,103984.555
374,104021.016
375,104151.555
376,104263.37
377,104323.04
378,104323.04
379,104187.805
380,104076.41
381,104101.664
382,104047.484
383,103943.42
384,103974.375
385,103939.55
386,103969.28
387,103960.12
388,103967.66
389,104038.52
390,104103.29
391,104001.46
392,104039.34
393,104026.71
394,103979.266
395,103971.93
396,103977.63
397,103956.05
398,103956.45
399,103966.02
400,104005.33
401,104019.18
402,104046.67
403,104055.23
404,104040.16
405,104064.8
406,104114.086
407,104073.76
408,104274.16
409,104598.99
410,104560.91
411,104293.1
412,103989.445
413,104016.53
414,104065.61
415,104118.16
416,104161.125
417,104215.1
418,104214.28
419,104245.445
420,104238.31
421,104256.44
422,104240.555
423,104240.96
424,104232.41
425,104171.72
426,104215.71
427,104226.5
428,104244.42
429,104275.79
430,104356.84
431,104395.74
432,104324.87
433,104319.984
434,104319.58
435,104288.82
436,104254.41
437,104252.37
438,104285.16
439,104293.1
440,104310.41
441,104307.56
442,104367.64
443,104356.03
444,104345.84
445,104359.9
