,0
0,94736.55
1,94553.56
2,94373.766
3,94215.3
4,94100.69
5,94016.97
6,93910.32
7,93822.42
8,93783.35
9,93755.445
10,93638.04
11,93614.516
12,93574.66
13,93552.33
14,93546.75
15,93548.34
16,93550.336
17,93547.55
18,93563.09
19,93602.36
20,93626.28
21,93683.29
22,93649.6
23,93726.94
24,93778.37
25,93797.7
26,93815.05
27,93874.24
28,93923.08
29,93941.82
30,93995.64
31,94033.31
32,94089.52
33,94144.14
34,94228.055
35,94294.83
36,94324.734
37,94364.99
38,94391.11
39,94443.734
40,94508.914
41,94576.69
42,94600.6
43,94680.93
44,94702.46
45,94765.05
46,94751.695
47,94814.484
48,94876.67
49,94934.88
50,95001.85
51,95097.734
52,95164.11
53,95152.15
54,95123.65
55,95100.92
56,95096.54
57,95061.055
58,95104.51
59,95097.734
60,95094.74
61,95102.32
62,95108.695
63,95110.09
64,95107.9
65,95101.72
66,95128.23
67,95144.18
68,95184.24
69,95180.26
70,95167.695
71,95138.99
72,95161.32
73,95136.41
74,95107.5
75,95126.44
76,95131.62
77,95147.766
78,95146.37
79,95171.28
80,95207.37
81,95221.12
82,95260.78
83,95276.93
84,95305.836
85,95295.07
86,95322.98
87,95323.57
88,95337.125
89,95345.5
90,95332.55
91,95335.53
92,95343.51
93,95350.68
94,95274.734
95,95324.17
96,95341.914
97,95367.42
98,95332.94
99,95301.445
100,95259.984
101,95265.17
102,95273.34
103,95253.21
104,95272.34
105,95268.95
106,95380.98
107,95404.7
108,95450.34
109,95506.555
110,95546.02
111,95583.1
112,95604.43
113,95680.77
114,95741.97
115,95850.2
116,95898.44
117,95981.56
118,95945.28
119,96018.234
120,96002.69
121,96016.24
122,96033.39
123,95988.54
124,95998.11
125,95988.14
126,96094.18
127,96104.15
128,96115.91
129,96124.68
130,96171.125
131,96184.28
132,96259.43
133,96312.25
134,96333.18
135,96290.72
