,0
0,1064.4104
1,1037.2731
2,1049.7876
3,1076.2788
4,1079.6624
5,1074.3064
6,1064.9375
7,1074.9695
8,1053.0012
9,1065.0565
10,1088.1812
11,1081.6519
12,1068.0321
13,1053.8174
14,1060.2106
15,1068.3042
16,1088.0281
17,1084.2534
18,1060.6187
19,1065.2437
20,1060.8397
21,1057.439
22,1056.1298
23,1065.9407
24,1054.5315
25,1039.0073
26,1049.6174
27,1052.8821
28,1079.2544
29,1075.8706
30,1068.3381
31,1060.0066
32,1050.6887
33,1065.9067
34,1084.6614
35,1073.3372
36,1074.4084
37,1054.4125
38,1065.8387
39,1090.5276
40,1088.4021
41,1072.657
42,1062.0299
43,1071.6538
44,1074.1194
45,1045.5366
46,1049.1244
47,1056.8779
48,1043.5643
49,1049.9746
50,1053.2732
51,1046.0978
52,1059.1564
53,1070.3446
54,1053.8174
55,1067.131
56,1053.9703
57,1062.5061
58,1071.9769
59,1071.9089
60,1067.352
61,1063.4922
62,1084.3043
63,1089.2183
64,1071.5858
65,1085.0015
66,1053.3412
67,1068.1001
68,1054.9396
69,1047.033
70,1057.031
71,1030.3186
72,1044.0914
73,1028.9075
74,1055.9087
75,1047.4921
76,1059.4624
77,1053.7833
78,1049.6174
79,1066.7229
80,1068.5592
81,1085.4946
82,1086.0557
83,1084.4744
84,1080.1555
85,1070.9397
86,1076.7549
87,1078.8123
88,1089.4734
89,1088.3511
90,1062.7441
91,1051.3179
92,1023.5853
93,1057.184
94,1054.2253
95,1040.3506
96,1045.5027
97,1035.5897
98,1048.4103
99,1050.2466
100,1052.9331
101,1050.4336
102,1052.7122
103,1064.6315
104,1049.1244
105,1053.4432
106,1092.1599
107,1087.875
108,1083.4712
109,1054.9735
110,1067.216
111,1085.0355
112,1083.6582
113,1099.7773
114,1067.8792
115,1045.3667
116,1039.0583
117,1072.3679
118,1070.3105
119,1044.7205
120,1037.5621
121,1020.1167
122,1047.101
123,1057.439
124,1046.2509
125,1049.4645
126,1051.5898
127,1053.3412
128,1043.4453
129,1075.6326
130,1065.0906
131,1077.0609
132,1066.2468
133,1055.5006
134,1075.5986
135,1108.8062
136,1098.7572
137,1095.3055
138,1084.1173
139,1062.064
140,1036.2869
141,1061.877
142,1068.3042
143,1062.5231
144,1044.4314
145,1033.0052
146,1052.7802
147,1056.3168
148,1059.9045
149,1051.4028
150,1051.6919
151,1061.69
152,1044.7886
153,1077.5029
154,1078.9653
155,1072.7761
156,1067.369
157,1047.2881
158,1077.401
159,1093.061
160,1075.9047
161,1109.1802
162,1075.1226
163,1057.3711
164,1055.3987
165,1047.56
166,1061.1288
167,1047.6621
168,1047.4751
169,1037.188
170,1059.8705
171,1074.8164
172,1074.4084
173,1028.8054
174,1056.3508
