,0
0,310.01727
1,309.37152
2,310.36786
3,313.42484
4,316.55975
5,317.74756
6,316.8826
7,314.92728
8,313.56635
9,313.269
10,313.3643
11,313.8232
12,314.26154
13,314.674
14,314.82825
15,315.92563
16,317.52496
17,318.78406
18,318.66443
19,315.9887
20,313.899
21,312.48535
22,311.08438
23,309.14713
24,308.70496
25,308.7164
26,310.6622
27,313.99387
28,317.20557
29,318.5765
30,318.00266
31,316.463
32,315.43686
33,314.859
34,314.76886
35,314.53635
36,315.18564
37,315.75574
38,315.94183
39,317.225
40,317.4789
41,319.43506
42,320.1227
43,318.7205
44,317.04382
45,314.25513
46,311.2449
47,310.0422
48,311.15543
49,310.94852
50,313.43912
51,315.2409
52,317.53754
53,317.48654
54,315.04303
55,313.5089
56,312.68686
57,312.55832
58,313.518
59,314.5186
60,315.34378
61,315.07584
62,314.9048
63,315.90118
64,317.6801
65,319.75192
66,320.50455
67,319.60132
68,316.88947
69,315.48117
70,313.68332
71,312.23495
72,311.6794
73,312.6205
74,312.9249
75,314.42294
76,315.41418
77,315.72348
78,314.07703
79,312.0173
80,311.30737
81,310.41196
82,309.88794
83,309.37656
84,309.3457
85,310.11404
86,311.85947
87,315.59665
88,319.15228
89,322.54727
90,323.88855
91,322.85165
92,320.58066
93,319.01642
94,317.4777
95,316.221
96,315.07974
97,313.95874
98,314.0761
99,313.76883
100,314.52463
101,314.5362
102,313.43317
103,310.92102
104,310.32162
105,309.11252
106,308.60898
107,308.4157
108,308.98788
109,308.9692
110,310.18115
111,313.968
112,319.09695
113,322.09354
114,322.81833
115,321.38382
116,320.29245
117,318.2977
118,317.04047
119,315.60062
120,315.33
121,314.41345
122,314.3491
123,315.0892
124,315.87952
125,316.0003
126,315.0362
127,312.93048
128,309.09225
129,308.73856
130,307.95438
131,307.25543
132,307.47147
133,309.33563
134,310.1959
135,313.33698
136,317.4719
137,319.66702
138,320.01932
139,319.50372
140,319.50702
141,320.0954
142,320.0609
143,319.39948
144,318.7111
145,317.64807
146,316.96695
147,316.31564
148,316.64948
149,315.85995
150,314.3597
151,311.94034
152,310.041
153,308.5043
