,0
0,104586.42
1,104538.79
2,104522.03
3,104507.914
4,104486.75
5,104515.86
6,104522.03
7,104556.43
8,104580.25
9,104600.53
10,104661.4
11,104634.94
12,104587.305
13,104588.19
14,104612.88
15,104623.47
16,104577.6
17,104549.375
18,104554.664
19,104581.125
20,104601.42
21,104600.53
22,104677.28
23,104647.29
24,104638.47
25,104612.88
26,104611.125
27,104620.83
28,104634.94
29,104657.875
30,104649.93
31,104659.63
32,104639.34
33,104620.83
34,104685.22
35,104629.64
36,104655.23
37,104613.766
38,104631.41
39,104585.54
40,104582.89
41,104574.07
42,104574.07
43,104555.55
44,104499.09
45,104458.516
46,104425.0
47,104349.14
48,104331.5
49,104267.11
50,104197.42
51,104163.016
52,104119.8
53,104045.7
54,103975.13
55,103896.625
56,103874.58
57,103827.83
58,103795.19
59,103753.734
60,103820.766
61,103871.05
62,103869.28
63,103891.336
64,103901.92
65,103902.805
66,103912.51
67,103850.76
68,103823.414
69,103771.375
70,103704.33
71,103714.92
72,103684.92
73,103616.125
74,103620.53
75,103579.95
76,103588.78
77,103597.6
78,103612.59
79,103587.016
80,103609.06
81,103654.055
82,103677.87
83,103718.445
84,103728.15
85,103712.27
86,103745.79
87,103723.734
88,103749.32
89,103727.266
90,103748.44
91,103764.31
92,103755.49
93,103766.08
94,103801.36
95,103784.6
96,103751.97
97,103752.84
98,103748.44
99,103804.89
100,103954.84
101,104025.414
102,104137.44
103,104162.14
104,104130.38
105,104069.516
106,104058.05
107,104048.34
108,104095.984
109,104142.734
110,104202.71
111,104260.93
112,104304.16
113,104352.67
114,104360.61
115,104384.42
116,104405.59
117,104462.05
118,104500.86
119,104511.445
120,104493.805
121,104491.16
122,104485.86
123,104461.164
124,104454.99
125,104463.81
126,104471.75
127,104557.31
128,104589.95
129,104619.94
130,104734.61
131,104765.484
132,104807.83
133,104859.87
134,104902.21
135,104967.484
136,104964.836
137,104919.85
138,104897.8
139,104873.984
140,104873.1
141,104881.92
142,104839.58
143,104818.414
144,104853.695
145,104782.25
146,104784.89
147,104746.08
148,104701.98
149,104620.83
150,104538.79
151,104479.69
152,104445.29
153,104425.88
154,104451.46
155,104443.52
156,104496.45
157,104530.85
158,104491.16
159,104445.29
160,104320.03
161,104258.28
162,104268.87
163,104246.82
164,104258.28
165,104238.875
166,104206.24
167,104263.58
168,104294.45
169,104275.05
170,104322.68
171,104377.37
172,104408.24
173,104456.76
174,104496.45
175,104529.97
176,104511.445
177,104462.93
178,104447.94
179,104475.28
180,104492.04
181,104459.4
182,104503.51
183,104497.33
184,104551.14
185,104537.02
186,104561.72
187,104550.26
188,104541.44
189,104516.734
190,104531.734
191,104545.84
192,104511.445
193,104484.984
194,104481.45
195,104509.68
196,104533.5
197,104596.125
198,104637.586
199,104662.28
200,104639.34
201,104565.25
202,104468.22
203,104497.33
204,104454.11
205,104500.86
206,104556.43
207,104561.72
208,104549.375
209,104499.09
210,104458.516
211,104450.58
212,104432.055
213,104404.71
214,104430.3
215,104424.12
216,104376.484
217,104376.484
218,104352.67
219,104305.03
220,104314.734
221,104348.26
222,104398.54
223,104422.35
224,104425.0
225,104360.61
226,104278.57
227,104250.34
228,104258.28
229,104239.766
230,104220.36
231,104248.58
232,104269.75
233,104273.28
234,104296.22
235,104259.164
236,104308.56
237,104315.625
238,104432.055
239,104396.77
240,104472.63
241,104493.805
242,104555.55
243,104584.66
244,104581.125
245,104547.61
246,104477.05
247,104377.37
248,104302.39
249,104279.45
250,104318.266
251,104345.61
252,104353.55
253,104333.266
254,104329.734
255,104267.11
256,104236.234
257,104213.3
258,104175.37
259,104145.375
260,104125.09
261,104141.85
262,104200.95
263,104250.34
264,104318.266
