,0
0,215.91986
1,218.79333
2,214.58107
3,217.43636
4,216.22772
5,218.02617
6,219.02713
7,218.66672
8,217.86028
9,218.0098
10,218.1221
11,218.59639
12,216.61896
13,217.92728
14,219.2742
15,219.18398
16,218.99443
17,217.9742
18,217.72075
19,217.21478
20,216.5531
21,217.12787
22,217.7902
23,217.98865
24,216.58203
25,216.57509
26,216.49767
27,216.29434
28,215.38506
29,216.31163
30,217.87363
31,218.37073
32,216.63475
33,217.70073
34,217.35323
35,217.05003
36,215.5027
37,217.08154
38,217.10497
39,217.81013
40,216.98926
41,217.28836
42,217.57396
