,0
0,316.88553
1,316.48996
2,312.69568
3,316.72894
4,318.73575
5,318.45105
6,315.61078
7,313.61572
8,315.57288
9,316.91544
10,311.78064
11,315.71826
12,318.06897
13,318.437
14,314.78638
15,313.79297
16,315.47595
17,312.82648
18,309.8045
19,313.93597
20,316.02048
21,315.86594
22,315.8232
23,312.30634
24,311.6095
25,310.1776
26,309.3437
27,309.53128
28,311.7951
29,311.92776
30,315.44867
31,315.45874
32,312.41342
33,311.26456
34,307.58234
35,311.19342
36,313.4722
37,314.0467
38,316.62787
39,312.49536
40,311.95367
41,311.7258
42,306.95404
43,311.69675
44,312.97974
45,313.75543
46,315.77087
47,312.10477
48,312.37228
49,311.1732
50,308.5016
51,311.74548
52,313.22302
53,314.10684
54,312.8615
55,313.29047
56,312.33276
57,312.0202
58,309.30792
