,0
0,0.013308633
1,0.013447548
2,0.013141
3,0.013828392
4,0.011317941
5,0.01077758
6,0.008222802
7,0.015197246
8,0.011404412
9,0.011075388
10,0.016466208
11,0.012081815
12,0.011358524
13,0.009994976
14,0.012667754
15,0.0095339045
16,0.01354151
17,0.012067456
18,0.011862674
19,0.011807732
20,0.011482766
21,0.010867484
22,0.0131762745
23,0.011744362
24,0.013962625
25,0.012600325
26,0.013209052
27,0.012339666
28,0.014066576
29,0.010369889
30,0.010638977
31,0.009001347
32,0.014449606
33,0.009290102
34,0.013492812
35,0.011371947
36,0.012751414
37,0.012890642
38,0.014569165
39,0.014019751
40,0.0137746995
41,0.011734685
42,0.012506363
43,0.010690797
