,0
0,4.3593092e-05
1,4.6930705e-05
2,5.129385e-05
3,5.3340384e-05
4,4.6088975e-05
5,3.9764695e-05
6,4.0144383e-05
7,4.3747204e-05
8,4.1548585e-05
9,4.457756e-05
10,5.0963168e-05
11,5.255357e-05
12,4.4423414e-05
13,3.9190905e-05
14,4.0357892e-05
15,4.4681743e-05
16,4.4363827e-05
17,4.525012e-05
18,5.1369258e-05
19,5.2897263e-05
20,4.7134054e-05
21,4.075296e-05
22,4.22259e-05
23,4.5294688e-05
24,4.60421e-05
25,4.8195383e-05
26,5.1862087e-05
27,5.45026e-05
28,4.7287973e-05
29,4.198054e-05
30,4.2658794e-05
31,4.4488792e-05
32,4.3923395e-05
33,4.780049e-05
34,5.2088464e-05
35,5.635859e-05
36,4.9429713e-05
37,4.3568885e-05
38,4.4164444e-05
39,4.495727e-05
40,4.5048706e-05
41,4.5995796e-05
42,5.1197112e-05
43,5.3795706e-05
44,4.5433277e-05
45,3.9884962e-05
