,0
0,0.0064040604
1,0.0061265174
2,0.0048121214
3,0.006198771
4,0.007543913
5,0.0054185293
6,0.006061596
7,0.0061040493
8,0.007076809
9,0.0053774947
10,0.0041137114
11,0.006163531
12,0.0067760884
13,0.006882872
14,0.0066683586
15,0.0071171336
16,0.0065590916
17,0.0054569617
18,0.0044890507
19,0.0061092526
20,0.0064728847
21,0.0062757544
22,0.005133182
23,0.0068872473
24,0.007308824
25,0.0058000176
26,0.0056797527
27,0.006282022
28,0.00607555
29,0.0055994582
30,0.006045395
31,0.0059736148
32,0.006657361
33,0.005227667
34,0.0041513164
35,0.0057650143
36,0.006589483
37,0.005487708
38,0.005451995
39,0.006281549
40,0.006634538
