,0
0,33.290977
1,32.83038
2,35.11798
3,34.83628
4,34.785286
5,36.948227
6,35.648193
7,35.45068
8,34.875946
9,34.26964
10,34.407253
11,34.60315
12,36.481155
13,37.654907
14,36.71833
15,35.45149
16,37.071266
17,34.715668
18,34.706764
19,41.85613
20,41.702324
21,38.703186
22,37.637096
23,36.15655
24,39.600906
25,40.041264
26,41.424675
27,36.462536
28,35.98575
29,36.248024
30,34.44935
31,35.359207
32,34.656578
33,33.37759
34,32.55111
35,33.81552
36,34.40078
37,35.869183
38,35.16979
39,34.13041
40,33.613937
41,33.531414
42,33.14453
43,34.5732
44,35.220528
45,36.690838
46,36.26307
47,38.19673
48,38.3686
49,39.766224
50,41.376602
51,40.25229
52,40.620247
53,38.45491
54,37.6077
55,37.236717
56,36.573486
57,37.030025
58,37.061825
59,37.381325
60,36.230515
61,35.15996
62,36.429634
