,0
0,42.586773
1,42.328396
2,42.339626
3,41.601017
4,44.252163
5,42.527798
6,42.350864
7,41.539227
8,40.94665
9,42.27223
10,40.963505
11,41.80322
12,40.67985
13,41.249966
14,41.272427
15,41.42689
16,40.604023
17,40.868015
18,41.64033
19,43.061398
20,43.235516
21,41.777943
22,41.741436
23,42.831104
24,42.03632
25,42.51656
26,42.275036
27,43.84775
28,42.446346
29,41.64033
30,42.061596
31,41.345448
32,41.710545
33,41.146053
34,42.69911
35,41.334217
36,40.879253
37,41.15167
38,43.611843
39,41.25839
40,40.879253
41,41.143246
42,41.73582
43,42.37614
44,42.092487
45,43.373127
46,41.73582
47,42.64575
48,41.831303
