,0
0,0.023579642
1,0.019490818
2,0.01946171
3,0.024400136
4,0.01903509
5,0.018332848
6,0.01779889
7,0.026756098
8,0.019295862
9,0.01878674
10,0.014819603
11,0.019880136
12,0.025350295
13,0.05577065
14,0.043438446
15,0.02964979
16,0.024914209
17,0.026916828
18,0.02716345
19,0.025031697
20,0.029331192
21,0.0478205
22,0.024560679
23,0.030525144
24,0.030845858
25,0.028629428
26,0.02318573
27,0.02921582
28,0.03204616
29,0.03465105
30,0.023740366
31,0.027172977
32,0.02492585
33,0.03052726
34,0.024018744
35,0.02615473
36,0.028153118
37,0.030473279
38,0.028505588
39,0.03129359
40,0.02801975
41,0.026209772
42,0.021057151
43,0.03220387
44,0.032126606
45,0.035924386
46,0.03858114
47,0.029202059
48,0.024461184
49,0.022742232
