,0
0,-380.37073
1,-376.7531
2,-358.6435
3,-362.427
4,-360.83762
5,-347.20724
6,-359.55325
7,-373.48865
8,-372.01166
9,-379.3486
10,-362.32535
11,-373.0766
12,-363.5348
13,-345.3984
14,-361.69922
15,-379.80884
16,-369.1432
17,-382.89133
18,-366.05002
19,-371.7494
20,-360.92325
21,-345.85864
22,-367.09357
23,-379.96936
24,-365.38107
25,-386.28955
26,-366.58517
27,-384.83392
28,-361.57077
29,-342.26776
30,-375.72028
31,-392.48663
32,-367.5859
33,-381.75146
34,-369.2663
35,-398.2342
36,-358.92712
37,-337.77783
38,-373.59033
39,-382.36688
40,-363.03174
41,-375.3296
42,-367.85883
43,-394.3008
44,-354.94556
45,-338.8053
46,-355.10077
47,-373.8954
48,-365.69684
49,-379.8677
50,-363.0799
51,-360.54327
52,-349.22476
53,-329.9378
54,-354.2445
55,-372.95886
56,-367.67154
57,-378.73315
58,-355.27737
59,-381.89594
60,-350.0061
61,-326.04724
62,-363.51337
63,-364.88336
64,-369.61414
65,-388.10373
66,-366.38715
67,-387.69165
68,-353.7254
69,-328.68555
70,-364.57834
71,-375.43127
72,-362.53406
73,-381.3554
74,-355.52887
75,-380.6169
