,0
0,0.010397591
1,0.0071711764
2,0.007015826
3,0.0062357644
4,0.0066228397
5,0.0072754524
6,0.0065665636
7,0.009405903
8,0.006649086
9,0.007757109
10,0.006835412
11,0.0062877843
12,0.0064249276
13,0.006626386
14,0.0060146796
15,0.013009462
16,0.007860913
17,0.008725151
18,0.009202553
19,0.008519201
20,0.0066722585
21,0.005237692
22,0.0059624235
23,0.006131961
24,0.00912476
25,0.0074010096
26,0.009092364
27,0.0067878845
28,0.005598521
29,0.008473565
30,0.010406103
31,0.0077386657
32,0.0063766907
33,0.0057765706
34,0.0072853835
35,0.0056914473
36,0.004288566
37,0.006018463
38,0.00852322
39,0.006644357
40,0.0057810633
