,0
0,62.453136
1,62.453136
2,62.453136
3,62.453136
4,62.453136
5,62.453136
6,62.453136
7,62.453136
8,62.453136
9,62.453136
10,62.453136
11,62.453136
12,62.453136
13,62.453136
14,62.453136
15,62.453136
16,62.453136
17,62.453136
18,62.453136
19,62.453136
20,62.453136
21,62.453136
22,62.453136
23,62.453136
24,62.453136
25,62.453136
26,62.453136
27,62.453136
28,62.453136
29,62.453136
30,62.453136
31,62.453136
32,62.453136
33,62.453136
34,62.453136
35,62.453136
36,62.453136
37,62.453136
38,62.453136
39,62.453136
40,62.453136
